gene_symbol	ensembl	version
DDX11L1	ENSG00000223972	v28
WASH7P	ENSG00000227232	v28
MIR6859-1	ENSG00000278267	v28
RP11-34P13.3	ENSG00000243485	v28
MIR1302-2	ENSG00000284332	v28
FAM138A	ENSG00000237613	v28
OR4G4P	ENSG00000268020	v28
OR4G11P	ENSG00000240361	v28
OR4F5	ENSG00000186092	v28
RP11-34P13.7	ENSG00000238009	v28
RP11-34P13.8	ENSG00000239945	v28
RP11-34P13.10	ENSG00000233750	v28
RP11-34P13.15	ENSG00000268903	v28
RP11-34P13.16	ENSG00000269981	v28
RP11-34P13.14	ENSG00000239906	v28
RP11-34P13.13	ENSG00000241860	v28
RNU6-1100P	ENSG00000222623	v28
RP11-34P13.9	ENSG00000241599	v28
ABC7-43046700E7.1	ENSG00000279928	v28
RP11-34P13.18	ENSG00000279457	v28
MIR6859-2	ENSG00000273874	v28
AP006222.1	ENSG00000228463	v28
RPL23AP24	ENSG00000236679	v28
RP4-669L17.2	ENSG00000236601	v28
RP4-669L17.4	ENSG00000237094	v28
RP4-669L17.6	ENSG00000269732	v28
OR4F29	ENSG00000284733	v28
CICP7	ENSG00000233653	v28
RP4-669L17.8	ENSG00000250575	v28
RF00026	ENSG00000278757	v28
RP11-206L10.17	ENSG00000230021	v28
RP5-857K21.2	ENSG00000235146	v28
RP5-857K21.9	ENSG00000225972	v28
RP5-857K21.8	ENSG00000225630	v28
RP5-857K21.6	ENSG00000237973	v28
MIR6723	ENSG00000278791	v28
RP5-857K21.7	ENSG00000229344	v28
RP5-857K21.14	ENSG00000240409	v28
RP5-857K21.10	ENSG00000248527	v28
RP5-857K21.11	ENSG00000198744	v28
RP5-857K21.12	ENSG00000268663	v28
OR4F16	ENSG00000284662	v28
RP11-206L10.15	ENSG00000229376	v28
RP11-206L10.2	ENSG00000228327	v28
RNU6-1199P	ENSG00000223181	v28
RP11-206L10.4	ENSG00000229905	v28
RP11-206L10.9	ENSG00000237491	v28
RP11-206L10.18	ENSG00000285268	v28
RP11-206L10.8	ENSG00000230092	v28
FAM87B	ENSG00000177757	v28
RP11-206L10.11	ENSG00000228794	v28
NCRNA00115	ENSG00000225880	v28
FAM41C	ENSG00000230368	v28
TUBB8P11	ENSG00000234711	v28
FAM166AP3	ENSG00000283040	v28
RP11-54O7.16	ENSG00000272438	v28
RP11-54O7.1	ENSG00000230699	v28
RP11-54O7.2	ENSG00000241180	v28
RP11-54O7.3	ENSG00000223764	v28
SAMD11	ENSG00000187634	v28
NOC2L	ENSG00000188976	v28
KLHL17	ENSG00000187961	v28
PLEKHN1	ENSG00000187583	v28
PERM1	ENSG00000187642	v28
RP11-54O7.17	ENSG00000272512	v28
HES4	ENSG00000188290	v28
ISG15	ENSG00000187608	v28
RP11-54O7.10	ENSG00000231702	v28
RP11-54O7.11	ENSG00000224969	v28
AGRN	ENSG00000188157	v28
RP11-54O7.14	ENSG00000242590	v28
RP11-465B22.3	ENSG00000217801	v28
RP11-54O7.18	ENSG00000273443	v28
RNF223	ENSG00000237330	v28
C1orf159	ENSG00000131591	v28
RP11-465B22.5	ENSG00000223823	v28
MIR200B	ENSG00000207730	v28
MIR200A	ENSG00000207607	v28
MIR429	ENSG00000198976	v28
RP11-465B22.8	ENSG00000272141	v28
RP11-465B22.6	ENSG00000205231	v28
TTLL10	ENSG00000162571	v28
TNFRSF18	ENSG00000186891	v28
