gene_symbol	ensembl	version
PANK4	ENSG00000157881	v39
HES5	ENSG00000197921	v39
ENSG00000272449	ENSG00000272449	v39
TNFRSF14-AS1	ENSG00000238164	v39
TNFRSF14	ENSG00000157873	v39
ENSG00000225931	ENSG00000225931	v39
ENSG00000228037	ENSG00000228037	v39
ENSG00000289610	ENSG00000289610	v39
PRXL2B	ENSG00000157870	v39
MMEL1	ENSG00000142606	v39
MMEL1-AS1	ENSG00000237058	v39
TTC34	ENSG00000215912	v39
ENSG00000285945	ENSG00000285945	v39
ENSG00000283259	ENSG00000283259	v39
ENSG00000233234	ENSG00000233234	v39
ENSG00000287396	ENSG00000287396	v39
ENSG00000231630	ENSG00000231630	v39
ENSG00000284745	ENSG00000284745	v39
ACTRT2	ENSG00000169717	v39
PRDM16-DT	ENSG00000177133	v39
PRDM16	ENSG00000142611	v39
MIR4251	ENSG00000283572	v39
ENSG00000226286	ENSG00000226286	v39
ENSG00000279839	ENSG00000279839	v39
ENSG00000272235	ENSG00000272235	v39
ENSG00000287828	ENSG00000287828	v39
ENSG00000286518	ENSG00000286518	v39
ARHGEF16	ENSG00000130762	v39
ENSG00000272088	ENSG00000272088	v39
MEGF6	ENSG00000162591	v39
MIR551A	ENSG00000207776	v39
ENSG00000238260	ENSG00000238260	v39
TPRG1L	ENSG00000158109	v39
WRAP73	ENSG00000116213	v39
TP73	ENSG00000078900	v39
TP73-AS3	ENSG00000227589	v39
TP73-AS2	ENSG00000235131	v39
TP73-AS1	ENSG00000227372	v39
ENSG00000276189	ENSG00000276189	v39
CCDC27	ENSG00000162592	v39
SMIM1	ENSG00000235169	v39
LRRC47	ENSG00000130764	v39
RN7SL574P	ENSG00000266075	v39
ENSG00000272153	ENSG00000272153	v39
CEP104	ENSG00000116198	v39
DFFB	ENSG00000169598	v39
C1orf174	ENSG00000198912	v39
LINC01134	ENSG00000236423	v39
LINC01346	ENSG00000233304	v39
LINC01345	ENSG00000226374	v39
LINC02780	ENSG00000284668	v39
ENSG00000284703	ENSG00000284703	v39
EEF1DP6	ENSG00000229280	v39
LINC01777	ENSG00000235054	v39
ENSG00000284694	ENSG00000284694	v39
ENSG00000227169	ENSG00000227169	v39
LINC01646	ENSG00000232596	v39
AJAP1	ENSG00000196581	v39
ENSG00000287586	ENSG00000287586	v39
ENSG00000284739	ENSG00000284739	v39
LINC02781	ENSG00000284674	v39
LINC02782	ENSG00000231510	v39
ENSG00000284616	ENSG00000284616	v39
ENSG00000284692	ENSG00000284692	v39
ENSG00000284666	ENSG00000284666	v39
ENSG00000260972	ENSG00000260972	v39
ENSG00000283356	ENSG00000283356	v39
ENSG00000236948	ENSG00000236948	v39
ENSG00000264341	ENSG00000264341	v39
MIR4689	ENSG00000264101	v39
NPHP4	ENSG00000131697	v39
KCNAB2	ENSG00000069424	v39
CHD5	ENSG00000116254	v39
ENSG00000285629	ENSG00000285629	v39
RPL22	ENSG00000116251	v39
RNF207-AS1	ENSG00000226944	v39
RNF207	ENSG00000158286	v39
ICMT	ENSG00000116237	v39
LINC00337	ENSG00000225077	v39
HES3	ENSG00000173673	v39
GPR153	ENSG00000158292	v39
ACOT7	ENSG00000097021	v39
ENSG00000271746	ENSG00000271746	v39
HES2	ENSG00000069812	v39
ESPN	ENSG00000187017	v39
MIR4252	ENSG00000265392	v39
ENSG00000231868	ENSG00000231868	v39
TNFRSF25	ENSG00000215788	v39
PLEKHG5	ENSG00000171680	v39
NOL9	ENSG00000162408	v39
RNU6-731P	ENSG00000253022	v39
ENSG00000229519	ENSG00000229519	v39
TAS1R1	ENSG00000173662	v39
ZBTB48	ENSG00000204859	v39
KLHL21	ENSG00000162413	v39
PHF13	ENSG00000116273	v39
THAP3	ENSG00000041988	v39
DNAJC11	ENSG00000007923	v39
LINC01672	ENSG00000228750	v39
ENSG00000284744	ENSG00000284744	v39
CAMTA1-DT	ENSG00000237436	v39
CAMTA1	ENSG00000171735	v39
ENSG00000227950	ENSG00000227950	v39
ENSG00000237365	ENSG00000237365	v39
RNU1-8P	ENSG00000207056	v39
CAMTA1-IT1	ENSG00000237402	v39
CAMTA1-AS2	ENSG00000237728	v39
CAMTA1-AS1	ENSG00000225126	v39
ENSG00000270171	ENSG00000270171	v39
ENSG00000270035	ENSG00000270035	v39
ENSG00000269978	ENSG00000269978	v39
VAMP3	ENSG00000049245	v39
ENSG00000269925	ENSG00000269925	v39
PER3	ENSG00000049246	v39
ENSG00000236266	ENSG00000236266	v39
UTS2	ENSG00000049247	v39
TNFRSF9	ENSG00000049249	v39
ENSG00000270330	ENSG00000270330	v39
PARK7	ENSG00000116288	v39
Y_RNA	ENSG00000200344	v39
ENSG00000284747	ENSG00000284747	v39
ENSG00000284716	ENSG00000284716	v39
ERRFI1	ENSG00000116285	v39
ENSG00000238290	ENSG00000238290	v39
ENSG00000232848	ENSG00000232848	v39
ENSG00000229305	ENSG00000229305	v39
ENSG00000288816	ENSG00000288816	v39
LINC01714	ENSG00000227634	v39
RNU1-7P	ENSG00000200975	v39
ENSG00000233645	ENSG00000233645	v39
