gene_symbol	ensembl	version
DDX11L1	ENSG00000223972	v36
WASH7P	ENSG00000227232	v36
MIR6859-1	ENSG00000278267	v36
MIR1302-2HG	ENSG00000243485	v36
MIR1302-2	ENSG00000284332	v36
FAM138A	ENSG00000237613	v36
OR4G4P	ENSG00000268020	v36
OR4G11P	ENSG00000240361	v36
OR4F5	ENSG00000186092	v36
AL627309.1	ENSG00000238009	v36
AL627309.3	ENSG00000239945	v36
CICP27	ENSG00000233750	v36
AL627309.6	ENSG00000268903	v36
AL627309.7	ENSG00000269981	v36
AL627309.2	ENSG00000239906	v36
AL627309.5	ENSG00000241860	v36
RNU6-1100P	ENSG00000222623	v36
AL627309.4	ENSG00000241599	v36
FO538757.1	ENSG00000279928	v36
WASH9P	ENSG00000279457	v36
MIR6859-2	ENSG00000273874	v36
AP006222.1	ENSG00000228463	v36
AP006222.2	ENSG00000286448	v36
RPL23AP24	ENSG00000236679	v36
AL732372.1	ENSG00000236601	v36
AL732372.2	ENSG00000237094	v36
WBP1LP7	ENSG00000269732	v36
OR4F29	ENSG00000284733	v36
CICP7	ENSG00000233653	v36
AL732372.3	ENSG00000250575	v36
U6	ENSG00000278757	v36
AL669831.3	ENSG00000230021	v36
AC114498.1	ENSG00000235146	v36
MTND1P23	ENSG00000225972	v36
MTND2P28	ENSG00000225630	v36
MTCO1P12	ENSG00000237973	v36
AC114498.2	ENSG00000278791	v36
MTCO2P12	ENSG00000229344	v36
MTATP8P1	ENSG00000240409	v36
MTATP6P1	ENSG00000248527	v36
MTCO3P12	ENSG00000198744	v36
WBP1LP6	ENSG00000268663	v36
OR4F16	ENSG00000284662	v36
CICP3	ENSG00000229376	v36
AL669831.1	ENSG00000228327	v36
RNU6-1199P	ENSG00000223181	v36
AL669831.2	ENSG00000229905	v36
LINC01409	ENSG00000237491	v36
AL669831.6	ENSG00000285268	v36
AL669831.4	ENSG00000230092	v36
FAM87B	ENSG00000177757	v36
LINC01128	ENSG00000228794	v36
LINC00115	ENSG00000225880	v36
AL669831.7	ENSG00000288531	v36
FAM41C	ENSG00000230368	v36
TUBB8P11	ENSG00000234711	v36
