gene_symbol	ensembl	version
AL669831.5	ENSG00000283040	v36
AL645608.6	ENSG00000272438	v36
AL645608.2	ENSG00000230699	v36
AL645608.4	ENSG00000241180	v36
LINC02593	ENSG00000223764	v36
SAMD11	ENSG00000187634	v36
NOC2L	ENSG00000188976	v36
KLHL17	ENSG00000187961	v36
PLEKHN1	ENSG00000187583	v36
PERM1	ENSG00000187642	v36
AL645608.7	ENSG00000272512	v36
HES4	ENSG00000188290	v36
ISG15	ENSG00000187608	v36
AL645608.3	ENSG00000231702	v36
AL645608.1	ENSG00000224969	v36
AGRN	ENSG00000188157	v36
AL645608.5	ENSG00000242590	v36
AL390719.1	ENSG00000217801	v36
AL645608.8	ENSG00000273443	v36
RNF223	ENSG00000237330	v36
C1orf159	ENSG00000131591	v36
AL390719.3	ENSG00000285812	v36
LINC01342	ENSG00000223823	v36
MIR200B	ENSG00000207730	v36
MIR200A	ENSG00000207607	v36
MIR429	ENSG00000198976	v36
AL390719.2	ENSG00000272141	v36
TTLL10-AS1	ENSG00000205231	v36
TTLL10	ENSG00000162571	v36
TNFRSF18	ENSG00000186891	v36
TNFRSF4	ENSG00000186827	v36
SDF4	ENSG00000078808	v36
B3GALT6	ENSG00000176022	v36
C1QTNF12	ENSG00000184163	v36
AL162741.1	ENSG00000260179	v36
UBE2J2	ENSG00000160087	v36
LINC01786	ENSG00000230415	v36
SCNN1D	ENSG00000162572	v36
ACAP3	ENSG00000131584	v36
MIR6726	ENSG00000278073	v36
PUSL1	ENSG00000169972	v36
INTS11	ENSG00000127054	v36
MIR6727	ENSG00000283712	v36
AL139287.1	ENSG00000240731	v36
CPTP	ENSG00000224051	v36
TAS1R3	ENSG00000169962	v36
DVL1	ENSG00000107404	v36
MIR6808	ENSG00000284372	v36
MXRA8	ENSG00000162576	v36
AURKAIP1	ENSG00000175756	v36
NDUFB4P8	ENSG00000223663	v36
CCNL2	ENSG00000221978	v36
MRPL20-AS1	ENSG00000224870	v36
MRPL20	ENSG00000242485	v36
RN7SL657P	ENSG00000264293	v36
MRPL20-DT	ENSG00000272455	v36
ANKRD65	ENSG00000235098	v36
AL391244.1	ENSG00000225905	v36
TMEM88B	ENSG00000205116	v36
LINC01770	ENSG00000225285	v36
VWA1	ENSG00000179403	v36
ATAD3C	ENSG00000215915	v36
ATAD3B	ENSG00000160072	v36
AL645728.2	ENSG00000284740	v36
ATAD3A	ENSG00000197785	v36
TMEM240	ENSG00000205090	v36
SSU72	ENSG00000160075	v36
AL645728.1	ENSG00000215014	v36
AL691432.3	ENSG00000274481	v36
FNDC10	ENSG00000228594	v36
AL691432.4	ENSG00000286989	v36
AL691432.2	ENSG00000272106	v36
MIB2	ENSG00000197530	v36
MMP23B	ENSG00000189409	v36
CDK11B	ENSG00000248333	v36
FO704657.1	ENSG00000272004	v36
SLC35E2B	ENSG00000189339	v36
AL691432.1	ENSG00000269737	v36
MMP23A	ENSG00000215914	v36
CDK11A	ENSG00000008128	v36
AL031282.2	ENSG00000268575	v36
AL031282.1	ENSG00000227775	v36
SLC35E2A	ENSG00000215790	v36
NADK	ENSG00000008130	v36
GNB1	ENSG00000078369	v36
AL109917.1	ENSG00000231050	v36
CALML6	ENSG00000169885	v36
TMEM52	ENSG00000178821	v36
CFAP74	ENSG00000142609	v36
AL391845.2	ENSG00000233542	v36
GABRD	ENSG00000187730	v36
AL391845.1	ENSG00000226969	v36
PRKCZ	ENSG00000067606	v36
AL590822.2	ENSG00000271806	v36
PRKCZ-AS1	ENSG00000182873	v36
FAAP20	ENSG00000162585	v36
AL590822.1	ENSG00000234396	v36
SKI	ENSG00000157933	v36
AL590822.3	ENSG00000287356	v36
MORN1	ENSG00000116151	v36
AL589739.1	ENSG00000272161	v36
AL513477.1	ENSG00000269896	v36
AL513477.2	ENSG00000272420	v36
RER1	ENSG00000157916	v36
PEX10	ENSG00000157911	v36
PLCH2	ENSG00000149527	v36
AL139246.1	ENSG00000224387	v36
AL139246.4	ENSG00000229393	v36
PANK4	ENSG00000157881	v36
HES5	ENSG00000197921	v36
AL139246.5	ENSG00000272449	v36
TNFRSF14-AS1	ENSG00000238164	v36
TNFRSF14	ENSG00000157873	v36
AL139246.2	ENSG00000225931	v36
AL139246.3	ENSG00000228037	v36
PRXL2B	ENSG00000157870	v36
MMEL1	ENSG00000142606	v36
MMEL1-AS1	ENSG00000237058	v36
TTC34	ENSG00000215912	v36
AC242022.2	ENSG00000285945	v36
AC242022.1	ENSG00000283259	v36
AL592464.2	ENSG00000233234	v36
AL592464.3	ENSG00000287396	v36
AL592464.1	ENSG00000231630	v36
AL589702.1	ENSG00000284745	v36
ACTRT2	ENSG00000169717	v36
PRDM16-DT	ENSG00000177133	v36
PRDM16	ENSG00000142611	v36
MIR4251	ENSG00000283572	v36
AL008733.1	ENSG00000226286	v36
AL512383.1	ENSG00000279839	v36
AL590438.1	ENSG00000272235	v36
AL354743.2	ENSG00000287828	v36
AL354743.1	ENSG00000286518	v36
ARHGEF16	ENSG00000130762	v36
AL512413.1	ENSG00000272088	v36
MEGF6	ENSG00000162591	v36
MIR551A	ENSG00000207776	v36
AL513320.1	ENSG00000238260	v36
TPRG1L	ENSG00000158109	v36
WRAP73	ENSG00000116213	v36
TP73	ENSG00000078900	v36
TP73-AS3	ENSG00000227589	v36
TP73-AS2	ENSG00000235131	v36
TP73-AS1	ENSG00000227372	v36
AL136528.1	ENSG00000276189	v36
CCDC27	ENSG00000162592	v36
SMIM1	ENSG00000235169	v36
LRRC47	ENSG00000130764	v36
RN7SL574P	ENSG00000266075	v36
AL365330.1	ENSG00000272153	v36
CEP104	ENSG00000116198	v36
DFFB	ENSG00000169598	v36
C1orf174	ENSG00000198912	v36
LINC01134	ENSG00000236423	v36
LINC01346	ENSG00000233304	v36
LINC01345	ENSG00000226374	v36
LINC02780	ENSG00000284668	v36
AL805961.1	ENSG00000284703	v36
EEF1DP6	ENSG00000229280	v36
LINC01777	ENSG00000235054	v36
AL355602.1	ENSG00000284694	v36
Z98747.1	ENSG00000227169	v36
LINC01646	ENSG00000232596	v36
AJAP1	ENSG00000196581	v36
Z98886.1	ENSG00000287586	v36
BX005132.1	ENSG00000284739	v36
LINC02781	ENSG00000284674	v36
LINC02782	ENSG00000231510	v36
AL139823.1	ENSG00000284616	v36
Z98259.3	ENSG00000284692	v36
Z98259.2	ENSG00000284666	v36
Z98259.1	ENSG00000260972	v36
Z97988.2	ENSG00000283356	v36
AL365255.1	ENSG00000236948	v36
Z97988.1	ENSG00000264341	v36
MIR4689	ENSG00000264101	v36
NPHP4	ENSG00000131697	v36
KCNAB2	ENSG00000069424	v36
CHD5	ENSG00000116254	v36
AL031847.1	ENSG00000285629	v36
RPL22	ENSG00000116251	v36
RNF207-AS1	ENSG00000226944	v36
RNF207	ENSG00000158286	v36
ICMT	ENSG00000116237	v36
LINC00337	ENSG00000225077	v36
HES3	ENSG00000173673	v36
GPR153	ENSG00000158292	v36
ACOT7	ENSG00000097021	v36
AL031848.2	ENSG00000271746	v36
HES2	ENSG00000069812	v36
ESPN	ENSG00000187017	v36
MIR4252	ENSG00000265392	v36
AL031848.1	ENSG00000231868	v36
TNFRSF25	ENSG00000215788	v36
PLEKHG5	ENSG00000171680	v36
NOL9	ENSG00000162408	v36
RNU6-731P	ENSG00000253022	v36
AL591866.1	ENSG00000229519	v36
TAS1R1	ENSG00000173662	v36
ZBTB48	ENSG00000204859	v36
KLHL21	ENSG00000162413	v36
PHF13	ENSG00000116273	v36
THAP3	ENSG00000041988	v36
DNAJC11	ENSG00000007923	v36
LINC01672	ENSG00000228750	v36
AL591163.1	ENSG00000284744	v36
CAMTA1-DT	ENSG00000237436	v36
CAMTA1	ENSG00000171735	v36
AL590128.1	ENSG00000227950	v36
AL512330.1	ENSG00000237365	v36
RNU1-8P	ENSG00000207056	v36
CAMTA1-IT1	ENSG00000237402	v36
CAMTA1-AS2	ENSG00000237728	v36
CAMTA1-AS1	ENSG00000225126	v36
AL359881.3	ENSG00000270171	v36
AL359881.2	ENSG00000270035	v36
AL359881.1	ENSG00000269978	v36
VAMP3	ENSG00000049245	v36
Z98884.2	ENSG00000269925	v36
PER3	ENSG00000049246	v36
Z98884.1	ENSG00000236266	v36
UTS2	ENSG00000049247	v36
TNFRSF9	ENSG00000049249	v36
AL009183.1	ENSG00000270330	v36
PARK7	ENSG00000116288	v36
Y_RNA	ENSG00000200344	v36
AL034417.4	ENSG00000284747	v36
AL034417.3	ENSG00000284716	v36
ERRFI1	ENSG00000116285	v36
AL034417.2	ENSG00000238290	v36
AL034417.1	ENSG00000232848	v36
AL358876.1	ENSG00000229305	v36
LINC01714	ENSG00000227634	v36
RNU1-7P	ENSG00000200975	v36
AL358876.2	ENSG00000233645	v36
RNU6-991P	ENSG00000251977	v36
SLC45A1	ENSG00000162426	v36
Y_RNA	ENSG00000252254	v36
RERE	ENSG00000142599	v36
RERE-AS1	ENSG00000232912	v36
AL096855.1	ENSG00000221083	v36
AL096855.2	ENSG00000270282	v36
RPL7P11	ENSG00000234619	v36
RPL7P7	ENSG00000224315	v36
Y_RNA	ENSG00000222511	v36
AL357552.1	ENSG00000226545	v36
AL357552.2	ENSG00000228423	v36
RPL23AP19	ENSG00000229716	v36
ENO1	ENSG00000074800	v36
MIR6728	ENSG00000274258	v36
ENO1-AS1	ENSG00000230679	v36
RNU6-304P	ENSG00000201725	v36
HMGN2P17	ENSG00000238249	v36
AL139415.1	ENSG00000232208	v36
AL139415.2	ENSG00000232663	v36
CA6	ENSG00000131686	v36
RN7SL451P	ENSG00000265141	v36
SLC2A7	ENSG00000197241	v36
SLC2A5	ENSG00000142583	v36
AL158048.1	ENSG00000252404	v36
GPR157	ENSG00000180758	v36
MIR34AHG	ENSG00000228526	v36
MIR34A	ENSG00000284357	v36
LNCTAM34A	ENSG00000234546	v36
H6PD	ENSG00000049239	v36
SPSB1	ENSG00000171621	v36
BX323043.1	ENSG00000284652	v36
LINC02606	ENSG00000284693	v36
RNA5SP40	ENSG00000252956	v36
AL928921.1	ENSG00000235263	v36
SLC25A33	ENSG00000171612	v36
AL954705.1	ENSG00000231181	v36
TMEM201	ENSG00000188807	v36
PIK3CD	ENSG00000171608	v36
PIK3CD-AS1	ENSG00000179840	v36
AL691449.1	ENSG00000233268	v36
PIK3CD-AS2	ENSG00000231789	v36
CLSTN1	ENSG00000171603	v36
MZT1P1	ENSG00000271264	v36
AL357140.3	ENSG00000280113	v36
CTNNBIP1	ENSG00000178585	v36
AL357140.1	ENSG00000223989	v36
AL357140.4	ENSG00000285701	v36
LZIC	ENSG00000162441	v36
AL357140.2	ENSG00000228150	v36
NMNAT1	ENSG00000173614	v36
RN7SKP269	ENSG00000202415	v36
TMEM274P	ENSG00000283611	v36
MIR5697	ENSG00000265521	v36
AL603962.1	ENSG00000241326	v36
RBP7	ENSG00000162444	v36
UBE4B	ENSG00000130939	v36
AL590639.1	ENSG00000224340	v36
PGAM1P11	ENSG00000233623	v36
RNU6-828P	ENSG00000201746	v36
KIF1B	ENSG00000054523	v36
AL358013.1	ENSG00000264881	v36
RNU6-37P	ENSG00000199562	v36
RN7SL731P	ENSG00000264501	v36
AL139424.3	ENSG00000284735	v36
AL139424.2	ENSG00000284642	v36
PGD	ENSG00000142657	v36
AL139424.1	ENSG00000271989	v36
CENPS-CORT	ENSG00000251503	v36
CENPS	ENSG00000175279	v36
CORT	ENSG00000241563	v36
DFFA	ENSG00000160049	v36
AL354956.1	ENSG00000203469	v36
PEX14	ENSG00000142655	v36
AL139423.2	ENSG00000287727	v36
RN7SL614P	ENSG00000243267	v36
CASZ1	ENSG00000130940	v36
AL139423.1	ENSG00000272078	v36
HSPE1P24	ENSG00000225158	v36
C1orf127	ENSG00000175262	v36
CFL1P6	ENSG00000215785	v36
TARDBP	ENSG00000120948	v36
AL109811.3	ENSG00000277726	v36
MASP2	ENSG00000009724	v36
AL109811.2	ENSG00000271895	v36
SRM	ENSG00000116649	v36
EXOSC10	ENSG00000171824	v36
AL109811.1	ENSG00000226849	v36
EXOSC10-AS1	ENSG00000230337	v36
MTOR	ENSG00000198793	v36
MTOR-AS1	ENSG00000225602	v36
RNU6-537P	ENSG00000253086	v36
ANGPTL7	ENSG00000171819	v36
RNU6-291P	ENSG00000207451	v36
RPL39P6	ENSG00000238173	v36
UBIAD1	ENSG00000120942	v36
UBE2V2P3	ENSG00000238199	v36
AL031291.1	ENSG00000284646	v36
MTCYBP45	ENSG00000224338	v36
DISP3	ENSG00000204624	v36
AL590989.1	ENSG00000285833	v36
LINC01647	ENSG00000235643	v36
AL031731.1	ENSG00000284708	v36
FBXO2	ENSG00000116661	v36
FBXO44	ENSG00000132879	v36
FBXO6	ENSG00000116663	v36
MAD2L2	ENSG00000116670	v36
DRAXIN	ENSG00000162490	v36
AGTRAP	ENSG00000177674	v36
C1orf167	ENSG00000215910	v36
C1orf167-AS1	ENSG00000177553	v36
MTHFR	ENSG00000177000	v36
CLCN6	ENSG00000011021	v36
AL021155.2	ENSG00000276470	v36
AL021155.3	ENSG00000278852	v36
NPPA	ENSG00000175206	v36
AL021155.1	ENSG00000275915	v36
NPPB	ENSG00000120937	v36
SBF1P2	ENSG00000224904	v36
AL021155.4	ENSG00000285646	v36
RNU5E-1	ENSG00000199347	v36
RNU5E-4P	ENSG00000201801	v36
KIAA2013	ENSG00000116685	v36
PLOD1	ENSG00000083444	v36
AL096840.2	ENSG00000287384	v36
MFN2	ENSG00000116688	v36
AL096840.1	ENSG00000270914	v36
MIIP	ENSG00000116691	v36
Y_RNA	ENSG00000202461	v36
MIR6729	ENSG00000276869	v36
RN7SL649P	ENSG00000243539	v36
TNFRSF8	ENSG00000120949	v36
RNU6-777P	ENSG00000201135	v36
RPL23AP89	ENSG00000227875	v36
AL357835.1	ENSG00000285604	v36
MIR7846	ENSG00000283789	v36
TNFRSF1B	ENSG00000028137	v36
MIR4632	ENSG00000263676	v36
RPL10P17	ENSG00000225196	v36
SNORA70	ENSG00000252969	v36
VPS13D	ENSG00000048707	v36
SNORA59A	ENSG00000239149	v36
LINC02766	ENSG00000229484	v36
DHRS3	ENSG00000162496	v36
RNU6ATAC18P	ENSG00000221340	v36
MIR6730	ENSG00000276830	v36
AC254633.1	ENSG00000272482	v36
AADACL4	ENSG00000204518	v36
AC244670.1	ENSG00000226166	v36
AADACL3	ENSG00000188984	v36
C1orf158	ENSG00000157330	v36
PRAMEF12	ENSG00000116726	v36
PRAMEF1	ENSG00000116721	v36
LINC01784	ENSG00000228338	v36
PRAMEF11	ENSG00000239810	v36
PRAMEF30P	ENSG00000231103	v36
HNRNPCL1	ENSG00000179172	v36
PRAMEF2	ENSG00000120952	v36
PRAMEF4	ENSG00000243073	v36
PRAMEF10	ENSG00000187545	v36
PRAMEF7	ENSG00000204510	v36
RNU6-1072P	ENSG00000207434	v36
PRAMEF29P	ENSG00000234064	v36
PRAMEF6	ENSG00000232423	v36
PRAMEF28P	ENSG00000274178	v36
PRAMEF27	ENSG00000274764	v36
HNRNPCL3	ENSG00000277058	v36
PRAMEF25	ENSG00000229571	v36
PRAMEF34P	ENSG00000277862	v36
PRAMEF35P	ENSG00000236179	v36
HNRNPCL2	ENSG00000275774	v36
PRAMEF36P	ENSG00000229978	v36
AC245056.1	ENSG00000233336	v36
PRAMEF26	ENSG00000280267	v36
HNRNPCL4	ENSG00000179412	v36
PRAMEF9	ENSG00000204505	v36
PRAMEF13	ENSG00000279169	v36
PRAMEF18	ENSG00000279804	v36
PRAMEF31P	ENSG00000250894	v36
PRAMEF5	ENSG00000270601	v36
PRAMEF32P	ENSG00000231219	v36
RNU6-771P	ENSG00000207511	v36
PRAMEF8	ENSG00000182330	v36
PRAMEF33	ENSG00000237700	v36
PRAMEF15	ENSG00000204501	v36
AC243961.1	ENSG00000228229	v36
PRAMEF14	ENSG00000204481	v36
PRAMEF19	ENSG00000204480	v36
PRAMEF17	ENSG00000204479	v36
PRAMEF20	ENSG00000204478	v36
LRRC38	ENSG00000162494	v36
AL354712.1	ENSG00000259961	v36
BRWD1P1	ENSG00000215909	v36
PDPN	ENSG00000162493	v36
RNA5SP41	ENSG00000222952	v36
AL359771.1	ENSG00000237445	v36
AL359771.2	ENSG00000253085	v36
PRDM2	ENSG00000116731	v36
KAZN	ENSG00000189337	v36
RNU6-1265P	ENSG00000252151	v36
AL357873.1	ENSG00000231606	v36
KAZN-AS1	ENSG00000234593	v36
TBCAP2	ENSG00000235829	v36
AL031293.1	ENSG00000287756	v36
TMEM51-AS1	ENSG00000175147	v36
TMEM51	ENSG00000171729	v36
C1orf195	ENSG00000204464	v36
MFFP1	ENSG00000215720	v36
ZBTB2P1	ENSG00000278480	v36
FHAD1	ENSG00000142621	v36
FHAD1-AS1	ENSG00000233485	v36
AL031283.2	ENSG00000236045	v36
AL031283.1	ENSG00000228140	v36
EFHD2	ENSG00000142634	v36
CTRC	ENSG00000162438	v36
CELA2A	ENSG00000142615	v36
CELA2B	ENSG00000215704	v36
CASP9	ENSG00000132906	v36
DNAJC16	ENSG00000116138	v36
SCARNA21B	ENSG00000251866	v36
AL121992.3	ENSG00000272510	v36
AGMAT	ENSG00000116771	v36
AL121992.1	ENSG00000237301	v36
CHCHD2P6	ENSG00000235084	v36
RNU7-179P	ENSG00000252417	v36
CD24P1	ENSG00000236500	v36
DDI2	ENSG00000197312	v36
RSC1A1	ENSG00000215695	v36
AL121992.2	ENSG00000271742	v36
PLEKHM2	ENSG00000116786	v36
AL450998.2	ENSG00000237938	v36
SLC25A34	ENSG00000162461	v36
SLC25A34-AS1	ENSG00000224459	v36
TMEM82	ENSG00000162460	v36
FBLIM1	ENSG00000162458	v36
RPL12P14	ENSG00000224321	v36
UQCRHL	ENSG00000233954	v36
AL450998.1	ENSG00000178715	v36
FLJ37453	ENSG00000179743	v36
SPEN	ENSG00000065526	v36
AL034555.1	ENSG00000270620	v36
ZBTB17	ENSG00000116809	v36
AL355994.4	ENSG00000234607	v36
AL355994.1	ENSG00000231353	v36
AL355994.5	ENSG00000275503	v36
TBC1D3P6	ENSG00000224966	v36
SRARP	ENSG00000183888	v36
AL355994.3	ENSG00000233078	v36
HSPB7	ENSG00000173641	v36
CLCNKA	ENSG00000186510	v36
AL355994.2	ENSG00000232456	v36
CLCNKB	ENSG00000184908	v36
FAM131C	ENSG00000185519	v36
EPHA2	ENSG00000142627	v36
AL451042.2	ENSG00000227959	v36
AL451042.1	ENSG00000224621	v36
ARHGEF19-AS1	ENSG00000234166	v36
ARHGEF19	ENSG00000142632	v36
ANO7L1	ENSG00000237276	v36
AL109627.1	ENSG00000288398	v36
CPLANE2	ENSG00000132881	v36
MT1XP1	ENSG00000233929	v36
FBXO42	ENSG00000037637	v36
SZRD1	ENSG00000055070	v36
RPL22P3	ENSG00000226457	v36
SPATA21	ENSG00000187144	v36
NECAP2	ENSG00000157191	v36
LINC01772	ENSG00000226029	v36
CROCCP3	ENSG00000080947	v36
RNU1-1	ENSG00000206652	v36
AL137802.2	ENSG00000261135	v36
AL137802.3	ENSG00000285853	v36
AL137802.1	ENSG00000224174	v36
LINC01783	ENSG00000233421	v36
RNU1-6P	ENSG00000277344	v36
AL355149.1	ENSG00000225710	v36
NBPF1	ENSG00000219481	v36
AL137798.1	ENSG00000271732	v36
CROCCP2	ENSG00000215908	v36
AL137798.3	ENSG00000283773	v36
MST1P2	ENSG00000186301	v36
AL137798.2	ENSG00000282143	v36
RNU1-3	ENSG00000207513	v36
AL021920.2	ENSG00000280114	v36
EIF1AXP1	ENSG00000236698	v36
ESPNP	ENSG00000268869	v36
AL021920.1	ENSG00000279151	v36
AL021920.3	ENSG00000282740	v36
CROCC	ENSG00000058453	v36
CROCCP4	ENSG00000227684	v36
RNU1-4	ENSG00000207389	v36
MST1L	ENSG00000186715	v36
BX284668.1	ENSG00000223643	v36
BX284668.3	ENSG00000230239	v36
MIR3675	ENSG00000263811	v36
BX284668.2	ENSG00000228549	v36
RNU1-5P	ENSG00000277234	v36
BX284668.5	ENSG00000238142	v36
BX284668.4	ENSG00000235241	v36
RNU1-2	ENSG00000207005	v36
BX284668.6	ENSG00000272426	v36
MFAP2	ENSG00000117122	v36
AL049569.2	ENSG00000286898	v36
AL049569.1	ENSG00000226526	v36
ATP13A2	ENSG00000159363	v36
AL049569.3	ENSG00000288636	v36
SDHB	ENSG00000117118	v36
PADI2	ENSG00000117115	v36
LINC02783	ENSG00000204362	v36
AL590644.2	ENSG00000282843	v36
PADI1	ENSG00000142623	v36
PADI3	ENSG00000142619	v36
MIR3972	ENSG00000266634	v36
PADI4	ENSG00000159339	v36
PADI6	ENSG00000276747	v36
RCC2-AS1	ENSG00000227751	v36
RCC2	ENSG00000179051	v36
ARHGEF10L	ENSG00000074964	v36
LINC02810	ENSG00000236648	v36
ACTL8	ENSG00000117148	v36
AL357509.1	ENSG00000284653	v36
LINC01654	ENSG00000261781	v36
IGSF21	ENSG00000117154	v36
AL365209.1	ENSG00000280222	v36
IGSF21-AS1	ENSG00000230035	v36
AL591896.1	ENSG00000225387	v36
KLHDC7A	ENSG00000179023	v36
DYNLL1P3	ENSG00000235282	v36
AL031737.1	ENSG00000225478	v36
PAX7	ENSG00000009709	v36
TAS1R2	ENSG00000179002	v36
ALDH4A1	ENSG00000159423	v36
MIR4695	ENSG00000265606	v36
MIR1290	ENSG00000221662	v36
IFFO2	ENSG00000169991	v36
AL137127.1	ENSG00000272084	v36
UBR4	ENSG00000127481	v36
EMC1-AS1	ENSG00000230424	v36
EMC1	ENSG00000127463	v36
MRTO4	ENSG00000053372	v36
AL035413.2	ENSG00000286064	v36
AKR7L	ENSG00000211454	v36
AKR7A3	ENSG00000162482	v36
AL035413.1	ENSG00000270728	v36
AKR7A2	ENSG00000053371	v36
RNU6-1099P	ENSG00000200403	v36
SLC66A1	ENSG00000040487	v36
CAPZB	ENSG00000077549	v36
RN7SL277P	ENSG00000240490	v36
MICOS10	ENSG00000173436	v36
RNU4-28P	ENSG00000201609	v36
AL031727.2	ENSG00000235185	v36
NBL1	ENSG00000158747	v36
MICOS10-NBL1	ENSG00000270136	v36
AL031727.1	ENSG00000226396	v36
HTR6	ENSG00000158748	v36
TMCO4	ENSG00000162542	v36
RNF186	ENSG00000178828	v36
AL391883.1	ENSG00000235434	v36
OTUD3	ENSG00000169914	v36
PLA2G2E	ENSG00000188784	v36
RN7SL304P	ENSG00000242688	v36
PLA2G2A	ENSG00000188257	v36
PLA2G5	ENSG00000127472	v36
PLA2G2D	ENSG00000117215	v36
PLA2G2F	ENSG00000158786	v36
Z98257.1	ENSG00000227066	v36
PLA2G2C	ENSG00000187980	v36
UBXN10	ENSG00000162543	v36
LINC01757	ENSG00000228105	v36
Z98257.2	ENSG00000284710	v36
VWA5B1	ENSG00000158816	v36
AL020998.1	ENSG00000226664	v36
LINC01141	ENSG00000236963	v36
AL139254.1	ENSG00000226487	v36
AL139254.2	ENSG00000284641	v36
AL139254.3	ENSG00000284743	v36
CAMK2N1	ENSG00000162545	v36
MUL1	ENSG00000090432	v36
RPS4XP4	ENSG00000215520	v36
FAM43B	ENSG00000183114	v36
CDA	ENSG00000158825	v36
PINK1	ENSG00000158828	v36
MIR6084	ENSG00000284005	v36
PINK1-AS	ENSG00000117242	v36
DDOST	ENSG00000244038	v36
KIF17	ENSG00000117245	v36
AL663074.2	ENSG00000235432	v36
SH2D5	ENSG00000189410	v36
AL663074.1	ENSG00000233069	v36
HP1BP3	ENSG00000127483	v36
EIF4G3	ENSG00000075151	v36
RNU7-200P	ENSG00000251914	v36
MIR1256	ENSG00000221808	v36
RPS15AP6	ENSG00000233072	v36
AL627311.1	ENSG00000236073	v36
HSPE1P27	ENSG00000235112	v36
AL031005.2	ENSG00000287192	v36
ECE1	ENSG00000117298	v36
AL031005.1	ENSG00000236936	v36
ECE1-AS1	ENSG00000231105	v36
PPP1R11P1	ENSG00000236216	v36
AL592309.1	ENSG00000228823	v36
AL592309.2	ENSG00000236009	v36
NBPF2P	ENSG00000227001	v36
HS6ST1P1	ENSG00000187952	v36
CROCCP5	ENSG00000186543	v36
NBPF3	ENSG00000142794	v36
PFN1P10	ENSG00000176378	v36
ALPL	ENSG00000162551	v36
LINC02596	ENSG00000233431	v36
RAP1GAP	ENSG00000076864	v36
USP48	ENSG00000090686	v36
AL590103.1	ENSG00000231978	v36
LDLRAD2	ENSG00000187942	v36
HSPG2	ENSG00000142798	v36
AL590556.1	ENSG00000232037	v36
AL590556.2	ENSG00000283234	v36
CELA3B	ENSG00000219073	v36
AL590556.3	ENSG00000285959	v36
RN7SL386P	ENSG00000273610	v36
RNU6-1022P	ENSG00000201919	v36
CELA3A	ENSG00000142789	v36
RN7SL186P	ENSG00000278124	v36
RNU6-776P	ENSG00000201273	v36
LINC01635	ENSG00000228397	v36
LINC00339	ENSG00000218510	v36
CDC42	ENSG00000070831	v36
CDC42-AS1	ENSG00000285752	v36
AL031281.1	ENSG00000285794	v36
CDC42-IT1	ENSG00000230068	v36
MPHOSPH6P1	ENSG00000271428	v36
WNT4	ENSG00000162552	v36
AL445253.1	ENSG00000285873	v36
MIR4418	ENSG00000266564	v36
PPIAP34	ENSG00000234397	v36
AL591122.1	ENSG00000279625	v36
ZBTB40	ENSG00000184677	v36
ZBTB40-IT1	ENSG00000237200	v36
EPHA8	ENSG00000070886	v36
MIR6127	ENSG00000276835	v36
C1QA	ENSG00000173372	v36
C1QC	ENSG00000159189	v36
C1QB	ENSG00000173369	v36
EPHB2	ENSG00000133216	v36
MIR4684	ENSG00000265422	v36
AL512444.1	ENSG00000225952	v36
MIR4253	ENSG00000264014	v36
