gene_symbol	ensembl	version
AL805961.1	ENSG00000284668	v27
AL805961.2	ENSG00000284703	v27
EEF1DP6	ENSG00000229280	v27
LINC01777	ENSG00000235054	v27
AL355602.1	ENSG00000284694	v27
Z98747.1	ENSG00000227169	v27
LINC01646	ENSG00000232596	v27
AJAP1	ENSG00000196581	v27
BX005132.2	ENSG00000284739	v27
BX005132.1	ENSG00000284674	v27
AL691497.1	ENSG00000231510	v27
AL139823.1	ENSG00000284616	v27
Z98259.3	ENSG00000284692	v27
Z98259.2	ENSG00000284666	v27
Z98259.1	ENSG00000260972	v27
Z97988.1	ENSG00000283356	v27
AL365255.1	ENSG00000236948	v27
MIR4417	ENSG00000264341	v27
MIR4689	ENSG00000264101	v27
NPHP4	ENSG00000131697	v27
KCNAB2	ENSG00000069424	v27
CHD5	ENSG00000116254	v27
RPL22	ENSG00000116251	v27
AL031847.1	ENSG00000226944	v27
RNF207	ENSG00000158286	v27
ICMT	ENSG00000116237	v27
LINC00337	ENSG00000225077	v27
HES3	ENSG00000173673	v27
GPR153	ENSG00000158292	v27
ACOT7	ENSG00000097021	v27
AL031848.2	ENSG00000271746	v27
HES2	ENSG00000069812	v27
ESPN	ENSG00000187017	v27
MIR4252	ENSG00000265392	v27
AL031848.1	ENSG00000231868	v27
TNFRSF25	ENSG00000215788	v27
PLEKHG5	ENSG00000171680	v27
NOL9	ENSG00000162408	v27
RNU6-731P	ENSG00000253022	v27
AL591866.1	ENSG00000229519	v27
TAS1R1	ENSG00000173662	v27
ZBTB48	ENSG00000204859	v27
KLHL21	ENSG00000162413	v27
PHF13	ENSG00000116273	v27
THAP3	ENSG00000041988	v27
DNAJC11	ENSG00000007923	v27
LINC01672	ENSG00000228750	v27
AL591163.1	ENSG00000284744	v27
AL590128.2	ENSG00000237436	v27
CAMTA1	ENSG00000171735	v27
AL590128.1	ENSG00000227950	v27
AL512330.1	ENSG00000237365	v27
RNU1-8P	ENSG00000207056	v27
CAMTA1-IT1	ENSG00000237402	v27
Z97987.1	ENSG00000237728	v27
AL365194.1	ENSG00000225126	v27
AL359881.3	ENSG00000270171	v27
AL359881.2	ENSG00000270035	v27
AL359881.1	ENSG00000269978	v27
VAMP3	ENSG00000049245	v27
Z98884.2	ENSG00000269925	v27
PER3	ENSG00000049246	v27
Z98884.1	ENSG00000236266	v27
UTS2	ENSG00000049247	v27
TNFRSF9	ENSG00000049249	v27
AL009183.1	ENSG00000270330	v27
PARK7	ENSG00000116288	v27
Y_RNA	ENSG00000200344	v27
AL034417.4	ENSG00000284747	v27
AL034417.3	ENSG00000284716	v27
ERRFI1	ENSG00000116285	v27
AL034417.2	ENSG00000238290	v27
AL034417.1	ENSG00000232848	v27
AL358876.1	ENSG00000229305	v27
LINC01714	ENSG00000227634	v27
RNU1-7P	ENSG00000200975	v27
AL358876.2	ENSG00000233645	v27
RNU6-991P	ENSG00000251977	v27
SLC45A1	ENSG00000162426	v27
Y_RNA	ENSG00000252254	v27
RERE	ENSG00000142599	v27
AL096855.1	ENSG00000232912	v27
SNORA77	ENSG00000221083	v27
AL096855.2	ENSG00000270282	v27
RPL7P11	ENSG00000234619	v27
RPL7P7	ENSG00000224315	v27
Y_RNA	ENSG00000222511	v27
AL357552.1	ENSG00000226545	v27
AL357552.2	ENSG00000228423	v27
RPL23AP19	ENSG00000229716	v27
ENO1	ENSG00000074800	v27
MIR6728	ENSG00000274258	v27
ENO1-IT1	ENSG00000236269	v27
ENO1-AS1	ENSG00000230679	v27
RNU6-304P	ENSG00000201725	v27
HMGN2P17	ENSG00000238249	v27
AL139415.1	ENSG00000232208	v27
AL139415.2	ENSG00000232663	v27
CA6	ENSG00000131686	v27
RN7SL451P	ENSG00000265141	v27
SLC2A7	ENSG00000197241	v27
SLC2A5	ENSG00000142583	v27
SCARNA16	ENSG00000252404	v27
GPR157	ENSG00000180758	v27
MIR34AHG	ENSG00000228526	v27
MIR34A	ENSG00000284357	v27
LINC01759	ENSG00000234546	v27
Z98044.1	ENSG00000281937	v27
H6PD	ENSG00000049239	v27
SPSB1	ENSG00000171621	v27
BX323043.1	ENSG00000284652	v27
AL928921.2	ENSG00000284693	v27
RNA5SP40	ENSG00000252956	v27
AL928921.1	ENSG00000235263	v27
SLC25A33	ENSG00000171612	v27
AL954705.1	ENSG00000231181	v27
TMEM201	ENSG00000188807	v27
PIK3CD	ENSG00000171608	v27
PIK3CD-AS1	ENSG00000179840	v27
AL691449.1	ENSG00000233268	v27
PIK3CD-AS2	ENSG00000231789	v27
CLSTN1	ENSG00000171603	v27
MZT1P1	ENSG00000271264	v27
AL357140.3	ENSG00000280113	v27
CTNNBIP1	ENSG00000178585	v27
AL357140.1	ENSG00000223989	v27
LZIC	ENSG00000162441	v27
AL357140.2	ENSG00000228150	v27
NMNAT1	ENSG00000173614	v27
RN7SKP269	ENSG00000202415	v27
AL357140.4	ENSG00000283611	v27
MIR5697	ENSG00000265521	v27
AL603962.1	ENSG00000241326	v27
RBP7	ENSG00000162444	v27
UBE4B	ENSG00000130939	v27
AL590639.1	ENSG00000224340	v27
PGAM1P11	ENSG00000233623	v27
RNU6-828P	ENSG00000201746	v27
KIF1B	ENSG00000054523	v27
MIR1273D	ENSG00000264881	v27
RNU6-37P	ENSG00000199562	v27
RN7SL731P	ENSG00000264501	v27
AL139424.3	ENSG00000284735	v27
AL139424.2	ENSG00000284642	v27
PGD	ENSG00000142657	v27
AL139424.1	ENSG00000271989	v27
CENPS-CORT	ENSG00000251503	v27
CENPS	ENSG00000175279	v27
CORT	ENSG00000241563	v27
DFFA	ENSG00000160049	v27
AL354956.1	ENSG00000203469	v27
PEX14	ENSG00000142655	v27
RN7SL614P	ENSG00000243267	v27
CASZ1	ENSG00000130940	v27
AL139423.1	ENSG00000272078	v27
HSPE1P24	ENSG00000225158	v27
C1orf127	ENSG00000175262	v27
CFL1P6	ENSG00000215785	v27
TARDBP	ENSG00000120948	v27
AL109811.4	ENSG00000277726	v27
MASP2	ENSG00000009724	v27
AL109811.3	ENSG00000271895	v27
SRM	ENSG00000116649	v27
EXOSC10	ENSG00000171824	v27
AL109811.1	ENSG00000226849	v27
AL109811.2	ENSG00000230337	v27
MTOR	ENSG00000198793	v27
MTOR-AS1	ENSG00000225602	v27
RNU6-537P	ENSG00000253086	v27
ANGPTL7	ENSG00000171819	v27
RNU6-291P	ENSG00000207451	v27
RPL39P6	ENSG00000238173	v27
UBIAD1	ENSG00000120942	v27
UBE2V2P3	ENSG00000238199	v27
AL031291.1	ENSG00000284646	v27
MTCYBP45	ENSG00000224338	v27
DISP3	ENSG00000204624	v27
LINC01647	ENSG00000235643	v27
AL031731.1	ENSG00000284708	v27
FBXO2	ENSG00000116661	v27
FBXO44	ENSG00000132879	v27
FBXO6	ENSG00000116663	v27
MAD2L2	ENSG00000116670	v27
DRAXIN	ENSG00000162490	v27
AGTRAP	ENSG00000177674	v27
C1orf167	ENSG00000215910	v27
AL953897.1	ENSG00000177553	v27
MTHFR	ENSG00000177000	v27
CLCN6	ENSG00000011021	v27
NPPA-AS1	ENSG00000242349	v27
NPPA-AS1_1	ENSG00000276470	v27
NPPA-AS1_2	ENSG00000278852	v27
NPPA	ENSG00000175206	v27
NPPA-AS1_3	ENSG00000275915	v27
NPPB	ENSG00000120937	v27
AL021155.1	ENSG00000224904	v27
RNU5E-1	ENSG00000199347	v27
RNU5E-4P	ENSG00000201801	v27
KIAA2013	ENSG00000116685	v27
PLOD1	ENSG00000083444	v27
MFN2	ENSG00000116688	v27
AL096840.1	ENSG00000270914	v27
MIIP	ENSG00000116691	v27
Y_RNA	ENSG00000202461	v27
MIR6729	ENSG00000276869	v27
RN7SL649P	ENSG00000243539	v27
TNFRSF8	ENSG00000120949	v27
RNU6-777P	ENSG00000201135	v27
RPL23AP89	ENSG00000227875	v27
MIR7846	ENSG00000283789	v27
TNFRSF1B	ENSG00000028137	v27
MIR4632	ENSG00000263676	v27
RPL10P17	ENSG00000225196	v27
SNORA70	ENSG00000252969	v27
VPS13D	ENSG00000048707	v27
SNORA59A	ENSG00000239149	v27
AC243836.1	ENSG00000229484	v27
DHRS3	ENSG00000162496	v27
RNU6ATAC18P	ENSG00000221340	v27
MIR6730	ENSG00000276830	v27
AC254633.1	ENSG00000272482	v27
AADACL4	ENSG00000204518	v27
AC244670.1	ENSG00000226166	v27
AADACL3	ENSG00000188984	v27
C1orf158	ENSG00000157330	v27
PRAMEF12	ENSG00000116726	v27
PRAMEF1	ENSG00000116721	v27
LINC01784	ENSG00000228338	v27
PRAMEF11	ENSG00000239810	v27
PRAMEF30P	ENSG00000231103	v27
HNRNPCL1	ENSG00000179172	v27
PRAMEF2	ENSG00000120952	v27
PRAMEF4	ENSG00000243073	v27
PRAMEF10	ENSG00000187545	v27
PRAMEF7	ENSG00000204510	v27
RNU6-1072P	ENSG00000207434	v27
PRAMEF29P	ENSG00000234064	v27
PRAMEF6	ENSG00000232423	v27
PRAMEF28P	ENSG00000274178	v27
PRAMEF27	ENSG00000274764	v27
HNRNPCL3	ENSG00000277058	v27
PRAMEF25	ENSG00000229571	v27
PRAMEF34P	ENSG00000277862	v27
PRAMEF35P	ENSG00000236179	v27
HNRNPCL2	ENSG00000275774	v27
PRAMEF36P	ENSG00000229978	v27
AC245056.1	ENSG00000233336	v27
PRAMEF26	ENSG00000280267	v27
HNRNPCL4	ENSG00000179412	v27
PRAMEF9	ENSG00000204505	v27
PRAMEF13	ENSG00000279169	v27
PRAMEF18	ENSG00000279804	v27
PRAMEF31P	ENSG00000250894	v27
PRAMEF5	ENSG00000270601	v27
PRAMEF32P	ENSG00000231219	v27
RNU6-443P	ENSG00000207511	v27
PRAMEF8	ENSG00000182330	v27
PRAMEF33	ENSG00000237700	v27
PRAMEF15	ENSG00000204501	v27
AC243961.1	ENSG00000228229	v27
PRAMEF14	ENSG00000204481	v27
PRAMEF19	ENSG00000204480	v27
PRAMEF17	ENSG00000204479	v27
PRAMEF20	ENSG00000204478	v27
LRRC38	ENSG00000162494	v27
AL354712.1	ENSG00000259961	v27
BRWD1P1	ENSG00000215909	v27
PDPN	ENSG00000162493	v27
RNA5SP41	ENSG00000222952	v27
AL359771.1	ENSG00000237445	v27
SCARNA11	ENSG00000253085	v27
PRDM2	ENSG00000116731	v27
KAZN	ENSG00000189337	v27
RNU6-1265P	ENSG00000252151	v27
AL357873.1	ENSG00000231606	v27
AL359873.1	ENSG00000234593	v27
TBCAP2	ENSG00000235829	v27
TMEM51-AS1	ENSG00000175147	v27
TMEM51	ENSG00000171729	v27
C1orf195	ENSG00000204464	v27
AL035405.1	ENSG00000215720	v27
AL391094.1	ENSG00000278480	v27
FHAD1	ENSG00000142621	v27
AL031283.2	ENSG00000233485	v27
AL031283.3	ENSG00000236045	v27
AL031283.1	ENSG00000228140	v27
EFHD2	ENSG00000142634	v27
CTRC	ENSG00000162438	v27
CELA2A	ENSG00000142615	v27
CELA2B	ENSG00000215704	v27
CASP9	ENSG00000132906	v27
DNAJC16	ENSG00000116138	v27
SCARNA21B	ENSG00000251866	v27
AL121992.3	ENSG00000272510	v27
AGMAT	ENSG00000116771	v27
AL121992.1	ENSG00000237301	v27
CHCHD2P6	ENSG00000235084	v27
RNU7-179P	ENSG00000252417	v27
CD24P1	ENSG00000236500	v27
DDI2	ENSG00000197312	v27
RSC1A1	ENSG00000215695	v27
AL121992.2	ENSG00000271742	v27
PLEKHM2	ENSG00000116786	v27
AL450998.3	ENSG00000237938	v27
SLC25A34	ENSG00000162461	v27
AL450998.2	ENSG00000224459	v27
TMEM82	ENSG00000162460	v27
FBLIM1	ENSG00000162458	v27
RPL12P14	ENSG00000224321	v27
UQCRHL	ENSG00000233954	v27
AL450998.1	ENSG00000178715	v27
FLJ37453	ENSG00000179743	v27
SPEN	ENSG00000065526	v27
AL034555.1	ENSG00000270620	v27
ZBTB17	ENSG00000116809	v27
AL355994.4	ENSG00000234607	v27
AL355994.1	ENSG00000231353	v27
AL355994.5	ENSG00000275503	v27
TBC1D3P6	ENSG00000224966	v27
C1orf64	ENSG00000183888	v27
AL355994.3	ENSG00000233078	v27
HSPB7	ENSG00000173641	v27
CLCNKA	ENSG00000186510	v27
AL355994.2	ENSG00000232456	v27
CLCNKB	ENSG00000184908	v27
FAM131C	ENSG00000185519	v27
EPHA2	ENSG00000142627	v27
AL451042.2	ENSG00000227959	v27
AL451042.1	ENSG00000224621	v27
ARHGEF19-AS1	ENSG00000234166	v27
ARHGEF19	ENSG00000142632	v27
ANO7L1	ENSG00000237276	v27
RSG1	ENSG00000132881	v27
MT1XP1	ENSG00000233929	v27
FBXO42	ENSG00000037637	v27
SZRD1	ENSG00000055070	v27
AL358794.1	ENSG00000226457	v27
SPATA21	ENSG00000187144	v27
NECAP2	ENSG00000157191	v27
LINC01772	ENSG00000226029	v27
CROCCP3	ENSG00000080947	v27
RNU1-1	ENSG00000206652	v27
AL137802.2	ENSG00000261135	v27
AL137802.1	ENSG00000224174	v27
LINC01783	ENSG00000233421	v27
RNU1-6P	ENSG00000277344	v27
FAM231B	ENSG00000268991	v27
AL355149.1	ENSG00000225710	v27
NBPF1	ENSG00000219481	v27
AL137798.1	ENSG00000271732	v27
CROCCP2	ENSG00000215908	v27
AL137798.3	ENSG00000283773	v27
MST1P2	ENSG00000186301	v27
AL137798.2	ENSG00000282143	v27
RNU1-3	ENSG00000207513	v27
FAM231A	ENSG00000237847	v27
AL021920.2	ENSG00000280114	v27
EIF1AXP1	ENSG00000236698	v27
ESPNP	ENSG00000268869	v27
AL021920.1	ENSG00000279151	v27
FAM231C	ENSG00000279132	v27
AL021920.3	ENSG00000282740	v27
CROCC	ENSG00000058453	v27
CROCCP4	ENSG00000227684	v27
RNU1-4	ENSG00000207389	v27
MST1L	ENSG00000186715	v27
BX284668.1	ENSG00000223643	v27
BX284668.3	ENSG00000230239	v27
MIR3675	ENSG00000263811	v27
BX284668.2	ENSG00000228549	v27
RNU1-5P	ENSG00000277234	v27
BX284668.5	ENSG00000238142	v27
BX284668.4	ENSG00000235241	v27
RNU1-2	ENSG00000207005	v27
BX284668.6	ENSG00000272426	v27
MFAP2	ENSG00000117122	v27
AL049569.1	ENSG00000226526	v27
ATP13A2	ENSG00000159363	v27
SDHB	ENSG00000117118	v27
PADI2	ENSG00000117115	v27
AL590644.1	ENSG00000204362	v27
AL590644.3	ENSG00000282843	v27
PADI1	ENSG00000142623	v27
PADI3	ENSG00000142619	v27
MIR3972	ENSG00000266634	v27
PADI4	ENSG00000159339	v27
PADI6	ENSG00000276747	v27
AC004824.1	ENSG00000227751	v27
RCC2	ENSG00000179051	v27
ARHGEF10L	ENSG00000074964	v27
AL136529.1	ENSG00000236648	v27
ACTL8	ENSG00000117148	v27
AL357509.1	ENSG00000284653	v27
LINC01654	ENSG00000261781	v27
IGSF21	ENSG00000117154	v27
AL365209.1	ENSG00000280222	v27
AL359738.1	ENSG00000230035	v27
AL591896.1	ENSG00000225387	v27
KLHDC7A	ENSG00000179023	v27
DYNLL1P3	ENSG00000235282	v27
AL031737.1	ENSG00000225478	v27
PAX7	ENSG00000009709	v27
TAS1R2	ENSG00000179002	v27
AL080251.1	ENSG00000255275	v27
ALDH4A1	ENSG00000159423	v27
MIR4695	ENSG00000265606	v27
MIR1290	ENSG00000221662	v27
IFFO2	ENSG00000169991	v27
AL137127.1	ENSG00000272084	v27
UBR4	ENSG00000127481	v27
AL035413.1	ENSG00000230424	v27
EMC1	ENSG00000127463	v27
MRTO4	ENSG00000053372	v27
AKR7L	ENSG00000211454	v27
AKR7A3	ENSG00000162482	v27
AL035413.2	ENSG00000270728	v27
AKR7A2	ENSG00000053371	v27
RNU6-1099P	ENSG00000200403	v27
PQLC2	ENSG00000040487	v27
CAPZB	ENSG00000077549	v27
RN7SL277P	ENSG00000240490	v27
RNU4-28P	ENSG00000201609	v27
AL031727.2	ENSG00000235185	v27
MINOS1	ENSG00000173436	v27
MINOS1-NBL1	ENSG00000270136	v27
AL031727.1	ENSG00000226396	v27
NBL1	ENSG00000158747	v27
HTR6	ENSG00000158748	v27
TMCO4	ENSG00000162542	v27
RNF186	ENSG00000178828	v27
AL391883.1	ENSG00000235434	v27
OTUD3	ENSG00000169914	v27
PLA2G2E	ENSG00000188784	v27
RN7SL304P	ENSG00000242688	v27
PLA2G2A	ENSG00000188257	v27
PLA2G5	ENSG00000127472	v27
PLA2G2D	ENSG00000117215	v27
PLA2G2F	ENSG00000158786	v27
Z98257.1	ENSG00000227066	v27
PLA2G2C	ENSG00000187980	v27
UBXN10-AS1	ENSG00000225986	v27
UBXN10	ENSG00000162543	v27
LINC01757	ENSG00000228105	v27
Z98257.2	ENSG00000284710	v27
VWA5B1	ENSG00000158816	v27
AL020998.1	ENSG00000226664	v27
LINC01141	ENSG00000236963	v27
AL139254.1	ENSG00000226487	v27
AL139254.2	ENSG00000284641	v27
AL139254.3	ENSG00000284743	v27
CAMK2N1	ENSG00000162545	v27
MUL1	ENSG00000090432	v27
RPS4XP4	ENSG00000215520	v27
FAM43B	ENSG00000183114	v27
CDA	ENSG00000158825	v27
PINK1	ENSG00000158828	v27
MIR6084	ENSG00000284005	v27
PINK1-AS	ENSG00000117242	v27
DDOST	ENSG00000244038	v27
KIF17	ENSG00000117245	v27
AL663074.2	ENSG00000235432	v27
SH2D5	ENSG00000189410	v27
AL663074.1	ENSG00000233069	v27
HP1BP3	ENSG00000127483	v27
EIF4G3	ENSG00000075151	v27
RNU7-200P	ENSG00000251914	v27
MIR1256	ENSG00000221808	v27
RPS15AP6	ENSG00000233072	v27
AL627311.1	ENSG00000236073	v27
HSPE1P27	ENSG00000235112	v27
ECE1	ENSG00000117298	v27
AL031005.1	ENSG00000236936	v27
AL031728.1	ENSG00000231105	v27
PPP1R11P1	ENSG00000236216	v27
AL592309.1	ENSG00000228823	v27
AL592309.2	ENSG00000236009	v27
NBPF2P	ENSG00000227001	v27
HS6ST1P1	ENSG00000187952	v27
CROCCP5	ENSG00000186543	v27
NBPF3	ENSG00000142794	v27
PFN1P10	ENSG00000176378	v27
ALPL	ENSG00000162551	v27
AL359815.1	ENSG00000233431	v27
RAP1GAP	ENSG00000076864	v27
USP48	ENSG00000090686	v27
AL590103.1	ENSG00000231978	v27
LDLRAD2	ENSG00000187942	v27
HSPG2	ENSG00000142798	v27
AL590556.1	ENSG00000232037	v27
AL590556.2	ENSG00000283234	v27
CELA3B	ENSG00000219073	v27
RN7SL386P	ENSG00000273610	v27
RNU6-1022P	ENSG00000201919	v27
CELA3A	ENSG00000142789	v27
RN7SL186P	ENSG00000278124	v27
RNU6-776P	ENSG00000201273	v27
LINC01635	ENSG00000228397	v27
LINC00339	ENSG00000218510	v27
CDC42	ENSG00000070831	v27
CDC42-IT1	ENSG00000230068	v27
AL031281.1	ENSG00000271428	v27
AL031281.2	ENSG00000271840	v27
WNT4	ENSG00000162552	v27
MIR4418	ENSG00000266564	v27
AL591122.1	ENSG00000234397	v27
AL591122.2	ENSG00000279625	v27
ZBTB40	ENSG00000184677	v27
ZBTB40-IT1	ENSG00000237200	v27
EPHA8	ENSG00000070886	v27
MIR6127	ENSG00000276835	v27
C1QA	ENSG00000173372	v27
C1QC	ENSG00000159189	v27
C1QB	ENSG00000173369	v27
EPHB2	ENSG00000133216	v27
MIR4684	ENSG00000265422	v27
AL512444.1	ENSG00000225952	v27
MIR4253	ENSG00000264014	v27
LACTBL1	ENSG00000215906	v27
TEX46	ENSG00000227868	v27
KDM1A	ENSG00000004487	v27
AL031428.1	ENSG00000240553	v27
MIR3115	ENSG00000263793	v27
MIR4419A	ENSG00000266802	v27
LUZP1	ENSG00000169641	v27
AL161672.1	ENSG00000229010	v27
RNU6-514P	ENSG00000206935	v27
RNU6-135P	ENSG00000252578	v27
HTR1D	ENSG00000179546	v27
AL109936.1	ENSG00000215381	v27
LINC01355	ENSG00000261326	v27
AL109936.8	ENSG00000284726	v27
HNRNPR	ENSG00000125944	v27
ZNF436	ENSG00000125945	v27
ZNF436-AS1	ENSG00000249087	v27
Y_RNA	ENSG00000201405	v27
AL109936.2	ENSG00000271420	v27
TCEA3	ENSG00000204219	v27
AL357134.1	ENSG00000232482	v27
ASAP3	ENSG00000088280	v27
