gene_symbol	ensembl	version
DDX11L1	ENSG00000223972	v27
WASH7P	ENSG00000227232	v27
MIR6859-1	ENSG00000278267	v27
MIR1302-2HG	ENSG00000243485	v27
MIR1302-2	ENSG00000284332	v27
FAM138A	ENSG00000237613	v27
AL627309.6	ENSG00000268020	v27
OR4G11P	ENSG00000240361	v27
OR4F5	ENSG00000186092	v27
AL627309.1	ENSG00000238009	v27
AL627309.3	ENSG00000239945	v27
CICP27	ENSG00000233750	v27
AL627309.7	ENSG00000268903	v27
AL627309.8	ENSG00000269981	v27
AL627309.2	ENSG00000239906	v27
AL627309.5	ENSG00000241860	v27
RNU6-1100P	ENSG00000222623	v27
AL627309.4	ENSG00000241599	v27
FO538757.2	ENSG00000279928	v27
FO538757.1	ENSG00000279457	v27
MIR6859-2	ENSG00000273874	v27
AP006222.1	ENSG00000228463	v27
RPL23AP24	ENSG00000236679	v27
AL732372.1	ENSG00000236601	v27
AL732372.2	ENSG00000237094	v27
WBP1LP7	ENSG00000269732	v27
OR4F29	ENSG00000284733	v27
CICP7	ENSG00000233653	v27
AL732372.3	ENSG00000250575	v27
U6	ENSG00000278757	v27
AL669831.3	ENSG00000230021	v27
AC114498.1	ENSG00000235146	v27
MTND1P23	ENSG00000225972	v27
MTND2P28	ENSG00000225630	v27
MTCO1P12	ENSG00000237973	v27
MIR6723	ENSG00000278791	v27
MTCO2P12	ENSG00000229344	v27
MTATP8P1	ENSG00000240409	v27
MTATP6P1	ENSG00000248527	v27
MTCO3P12	ENSG00000198744	v27
WBP1LP6	ENSG00000268663	v27
OR4F16	ENSG00000284662	v27
CICP3	ENSG00000229376	v27
AL669831.1	ENSG00000228327	v27
RNU6-1199P	ENSG00000223181	v27
AL669831.2	ENSG00000229905	v27
AL669831.5	ENSG00000237491	v27
AL669831.4	ENSG00000230092	v27
FAM87B	ENSG00000177757	v27
LINC01128	ENSG00000228794	v27
LINC00115	ENSG00000225880	v27
FAM41C	ENSG00000230368	v27
TUBB8P11	ENSG00000234711	v27
AL669831.6	ENSG00000283040	v27
AL645608.7	ENSG00000272438	v27
AL645608.3	ENSG00000230699	v27
AL645608.5	ENSG00000241180	v27
AL645608.1	ENSG00000223764	v27
SAMD11	ENSG00000187634	v27
NOC2L	ENSG00000188976	v27
KLHL17	ENSG00000187961	v27
PLEKHN1	ENSG00000187583	v27
PERM1	ENSG00000187642	v27
AL645608.8	ENSG00000272512	v27
HES4	ENSG00000188290	v27
ISG15	ENSG00000187608	v27
AL645608.4	ENSG00000231702	v27
AL645608.2	ENSG00000224969	v27
AGRN	ENSG00000188157	v27
AL645608.6	ENSG00000242590	v27
AL390719.1	ENSG00000217801	v27
AL645608.9	ENSG00000273443	v27
RNF223	ENSG00000237330	v27
C1orf159	ENSG00000131591	v27
LINC01342	ENSG00000223823	v27
MIR200B	ENSG00000207730	v27
MIR200A	ENSG00000207607	v27
MIR429	ENSG00000198976	v27
AL390719.2	ENSG00000272141	v27
TTLL10-AS1	ENSG00000205231	v27
TTLL10	ENSG00000162571	v27
TNFRSF18	ENSG00000186891	v27
TNFRSF4	ENSG00000186827	v27
SDF4	ENSG00000078808	v27
B3GALT6	ENSG00000176022	v27
C1QTNF12	ENSG00000184163	v27
AL162741.1	ENSG00000260179	v27
UBE2J2	ENSG00000160087	v27
LINC01786	ENSG00000230415	v27
SCNN1D	ENSG00000162572	v27
ACAP3	ENSG00000131584	v27
MIR6726	ENSG00000278073	v27
PUSL1	ENSG00000169972	v27
INTS11	ENSG00000127054	v27
MIR6727	ENSG00000283712	v27
AL139287.1	ENSG00000240731	v27
CPTP	ENSG00000224051	v27
TAS1R3	ENSG00000169962	v27
DVL1	ENSG00000107404	v27
MIR6808	ENSG00000284372	v27
MXRA8	ENSG00000162576	v27
AURKAIP1	ENSG00000175756	v27
NDUFB4P8	ENSG00000223663	v27
CCNL2	ENSG00000221978	v27
AL391244.1	ENSG00000224870	v27
MRPL20	ENSG00000242485	v27
RN7SL657P	ENSG00000264293	v27
AL391244.3	ENSG00000272455	v27
ANKRD65	ENSG00000235098	v27
AL391244.2	ENSG00000225905	v27
TMEM88B	ENSG00000205116	v27
LINC01770	ENSG00000225285	v27
VWA1	ENSG00000179403	v27
ATAD3C	ENSG00000215915	v27
ATAD3B	ENSG00000160072	v27
AL645728.2	ENSG00000284740	v27
ATAD3A	ENSG00000197785	v27
TMEM240	ENSG00000205090	v27
SSU72	ENSG00000160075	v27
AL645728.1	ENSG00000215014	v27
AL691432.3	ENSG00000274481	v27
FNDC10	ENSG00000228594	v27
AL691432.2	ENSG00000272106	v27
MIB2	ENSG00000197530	v27
MMP23B	ENSG00000189409	v27
CDK11B	ENSG00000248333	v27
FO704657.1	ENSG00000272004	v27
SLC35E2B	ENSG00000189339	v27
AL691432.1	ENSG00000269737	v27
MMP23A	ENSG00000215914	v27
CDK11A	ENSG00000008128	v27
AL031282.2	ENSG00000268575	v27
AL031282.1	ENSG00000227775	v27
SLC35E2	ENSG00000215790	v27
NADK	ENSG00000008130	v27
GNB1	ENSG00000078369	v27
AL109917.1	ENSG00000231050	v27
CALML6	ENSG00000169885	v27
TMEM52	ENSG00000178821	v27
CFAP74	ENSG00000142609	v27
AL391845.2	ENSG00000233542	v27
GABRD	ENSG00000187730	v27
AL391845.1	ENSG00000226969	v27
PRKCZ	ENSG00000067606	v27
AL590822.2	ENSG00000271806	v27
PRKCZ-AS1	ENSG00000182873	v27
FAAP20	ENSG00000162585	v27
AL590822.1	ENSG00000234396	v27
SKI	ENSG00000157933	v27
MORN1	ENSG00000116151	v27
AL589739.1	ENSG00000272161	v27
AL513477.1	ENSG00000269896	v27
AL513477.2	ENSG00000272420	v27
RER1	ENSG00000157916	v27
PEX10	ENSG00000157911	v27
PLCH2	ENSG00000149527	v27
AL139246.1	ENSG00000224387	v27
AL139246.4	ENSG00000229393	v27
PANK4	ENSG00000157881	v27
HES5	ENSG00000197921	v27
AL139246.5	ENSG00000272449	v27
TNFRSF14-AS1	ENSG00000238164	v27
TNFRSF14	ENSG00000157873	v27
AL139246.2	ENSG00000225931	v27
AL139246.3	ENSG00000228037	v27
FAM213B	ENSG00000157870	v27
MMEL1	ENSG00000142606	v27
AL831784.1	ENSG00000237058	v27
TTC34	ENSG00000215912	v27
AC242022.1	ENSG00000283259	v27
AL592464.2	ENSG00000233234	v27
AL592464.1	ENSG00000231630	v27
AL589702.1	ENSG00000284745	v27
ACTRT2	ENSG00000169717	v27
LINC00982	ENSG00000177133	v27
PRDM16	ENSG00000142611	v27
MIR4251	ENSG00000283572	v27
AL008733.1	ENSG00000226286	v27
AL512383.1	ENSG00000279839	v27
AL590438.1	ENSG00000272235	v27
ARHGEF16	ENSG00000130762	v27
AL512413.1	ENSG00000272088	v27
MEGF6	ENSG00000162591	v27
MIR551A	ENSG00000207776	v27
AL513320.1	ENSG00000238260	v27
TPRG1L	ENSG00000158109	v27
WRAP73	ENSG00000116213	v27
TP73	ENSG00000078900	v27
AL136528.1	ENSG00000227589	v27
AL136528.2	ENSG00000235131	v27
TP73-AS1	ENSG00000227372	v27
TP73-AS1	ENSG00000276189	v27
CCDC27	ENSG00000162592	v27
SMIM1	ENSG00000235169	v27
LRRC47	ENSG00000130764	v27
RN7SL574P	ENSG00000266075	v27
AL365330.1	ENSG00000272153	v27
CEP104	ENSG00000116198	v27
DFFB	ENSG00000169598	v27
C1orf174	ENSG00000198912	v27
LINC01134	ENSG00000236423	v27
LINC01346	ENSG00000233304	v27
LINC01345	ENSG00000226374	v27
