Kids_First_Participant_ID	sample_id	cohort	Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	molecular_subtype	molecular_subtype_methyl	match_id
PAITCI	01	TARGET	TARGET-30-PAITCI-01A-01W	TARGET-30-PAITCI-01A-01R	TARGET-30-PAITCI-01A-01D.M	NBL, MYCN non-amplified	NA	PAITCI_01_Solid Tissue_Primary Tumor
PAITEG	01	TARGET	TARGET-30-PAITEG-01A-01W	TARGET-30-PAITEG-01A-01R	NA	NBL, MYCN non-amplified	NA	PAITEG_01_Solid Tissue_Primary Tumor
PAIVHE	01	TARGET	TARGET-30-PAIVHE-01A-01W	TARGET-30-PAIVHE-01A-01R	TARGET-30-PAIVHE-01A-01D.M	NBL, MYCN non-amplified	NA	PAIVHE_01_Solid Tissue_Primary Tumor
PAIWRB	01	TARGET	TARGET-30-PAIWRB-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAIWRB_01_Solid Tissue_Primary Tumor
PAIXIF	01	TARGET	TARGET-30-PAIXIF-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAIXIF_01_Solid Tissue_Primary Tumor
PAIXNC	01	TARGET	TARGET-30-PAIXNC-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAIXNC_01_Solid Tissue_Primary Tumor
PAIXNV	01	TARGET	TARGET-30-PAIXNV-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAIXNV_01_Solid Tissue_Primary Tumor
PAIXRK	01	TARGET	TARGET-30-PAIXRK-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAIXRK_01_Solid Tissue_Primary Tumor
PAKFUY	01	TARGET	TARGET-30-PAKFUY-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAKFUY_01_Solid Tissue_Primary Tumor
PAKGKH	01	TARGET	TARGET-30-PAKGKH-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAKGKH_01_Solid Tissue_Primary Tumor
PAKHCF	01	TARGET	TARGET-30-PAKHCF-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAKHCF_01_Solid Tissue_Primary Tumor
PAKHHB	01	TARGET	TARGET-30-PAKHHB-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAKHHB_01_Solid Tissue_Primary Tumor
PAKIPY	01	TARGET	TARGET-30-PAKIPY-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAKIPY_01_Solid Tissue_Primary Tumor
PAKJRE	01	TARGET	TARGET-30-PAKJRE-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAKJRE_01_Solid Tissue_Primary Tumor
PAKVUY	01	TARGET	TARGET-30-PAKVUY-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAKVUY_01_Solid Tissue_Primary Tumor
PAKXDZ	01	TARGET	TARGET-30-PAKXDZ-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAKXDZ_01_Solid Tissue_Primary Tumor
PAKYZS	01	TARGET	TARGET-30-PAKYZS-01A-01W	TARGET-30-PAKYZS-01A-01R	TARGET-30-PAKYZS-01A-01D.M	NBL, MYCN non-amplified	NA	PAKYZS_01_Solid Tissue_Primary Tumor
PAKZRE	01	TARGET	TARGET-30-PAKZRE-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAKZRE_01_Solid Tissue_Primary Tumor
PAKZRF	01	TARGET	TARGET-30-PAKZRF-01A-01W	NA	NA	NBL, To be classified	NA	PAKZRF_01_Solid Tissue_Primary Tumor
PAKZRH	01	TARGET	NA	TARGET-30-PAKZRH-01A-01R	TARGET-30-PAKZRH-01A-01D.M	NBL, MYCN non-amplified	NA	PAKZRH_01_Solid Tissue_Primary Tumor
PALAKE	01	TARGET	TARGET-30-PALAKE-01A-01W	NA	NA	NBL, MYCN amplified	NA	PALAKE_01_Solid Tissue_Primary Tumor
PALAKM	01	TARGET	TARGET-30-PALAKM-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALAKM_01_Solid Tissue_Primary Tumor
PALBFW	01	TARGET	TARGET-30-PALBFW-01A-01W	TARGET-30-PALBFW-01A-01R	TARGET-30-PALBFW-01A-01D.M	NBL, MYCN non-amplified	NA	PALBFW_01_Solid Tissue_Primary Tumor
PALCBW	01	TARGET	TARGET-30-PALCBW-01A-01W	TARGET-30-PALCBW-01A-01R	TARGET-30-PALCBW-01A-01D.M	NBL, MYCN non-amplified	NA	PALCBW_01_Solid Tissue_Primary Tumor
PALETP	01	TARGET	TARGET-30-PALETP-01A-01W	TARGET-30-PALETP-01A-01R	TARGET-30-PALETP-01A-01D.M	NBL, MYCN non-amplified	NA	PALETP_01_Solid Tissue_Primary Tumor
PALEVG	01	TARGET	TARGET-30-PALEVG-01A-01W	TARGET-30-PALEVG-01A-01R	TARGET-30-PALEVG-01A-01D.M	NBL, MYCN amplified	NA	PALEVG_01_Solid Tissue_Primary Tumor
PALFPI	01	TARGET	TARGET-30-PALFPI-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALFPI_01_Solid Tissue_Primary Tumor
PALHVD	01	TARGET	TARGET-30-PALHVD-01A-01W	NA	TARGET-30-PALHVD-01A-01D.M	NBL, MYCN non-amplified	NA	PALHVD_01_Solid Tissue_Primary Tumor
PALIIN	01	TARGET	TARGET-30-PALIIN-01A-01W	TARGET-30-PALIIN-01A-01R	TARGET-30-PALIIN-01A-01D.M	NBL, MYCN non-amplified	NA	PALIIN_01_Solid Tissue_Primary Tumor
PALJPX	01	TARGET	TARGET-30-PALJPX-01A-01W	NA	NA	NBL, MYCN amplified	NA	PALJPX_01_Solid Tissue_Primary Tumor
PALJUV	01	TARGET	TARGET-30-PALJUV-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALJUV_01_Solid Tissue_Primary Tumor
PALKUC	01	TARGET	NA	TARGET-30-PALKUC-01A-01R	NA	NBL, MYCN amplified	NA	PALKUC_01_Solid Tissue_Primary Tumor
PALNLU	01	TARGET	TARGET-30-PALNLU-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALNLU_01_Solid Tissue_Primary Tumor
PALNVP	01	TARGET	NA	TARGET-30-PALNVP-01A-01R	TARGET-30-PALNVP-01A-01D.M	NBL, MYCN non-amplified	NA	PALNVP_01_Solid Tissue_Primary Tumor
PALPGG	01	TARGET	TARGET-30-PALPGG-01A-01W	NA	NA	NBL, MYCN amplified	NA	PALPGG_01_Solid Tissue_Primary Tumor
PALRSD	01	TARGET	TARGET-30-PALRSD-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PALRSD_01_Solid Tissue_Primary Tumor
PALSAE	01	TARGET	TARGET-30-PALSAE-01A-01W	NA	TARGET-30-PALSAE-01A-01D.M	NBL, MYCN non-amplified	NA	PALSAE_01_Solid Tissue_Primary Tumor
PALTEG	01	TARGET	TARGET-30-PALTEG-01A-01W	TARGET-30-PALTEG-01A-01R	NA	NBL, MYCN non-amplified	NA	PALTEG_01_Solid Tissue_Primary Tumor
PALTYB	01	TARGET	TARGET-30-PALTYB-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALTYB_01_Solid Tissue_Primary Tumor
PALUDH	01	TARGET	TARGET-30-PALUDH-01A-01W	NA	TARGET-30-PALUDH-01A-01D.M	NBL, MYCN non-amplified	NA	PALUDH_01_Solid Tissue_Primary Tumor
PALUYS	01	TARGET	NA	TARGET-30-PALUYS-01A-01R	NA	NBL, MYCN non-amplified	NA	PALUYS_01_Solid Tissue_Primary Tumor
PALVKK	01	TARGET	NA	TARGET-30-PALVKK-01A-01R	NA	NBL, MYCN non-amplified	NA	PALVKK_01_Solid Tissue_Primary Tumor
PALWIP	01	TARGET	TARGET-30-PALWIP-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALWIP_01_Solid Tissue_Primary Tumor
PALWVJ	01	TARGET	TARGET-30-PALWVJ-01A-01W	TARGET-30-PALWVJ-01A-01R	NA	NBL, MYCN non-amplified	NA	PALWVJ_01_Solid Tissue_Primary Tumor
PALXHW	01	TARGET	TARGET-30-PALXHW-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALXHW_01_Solid Tissue_Primary Tumor
PALXMM	01	TARGET	TARGET-30-PALXMM-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PALXMM_01_Solid Tissue_Primary Tumor
PALXTB	01	TARGET	NA	TARGET-30-PALXTB-01A-01R	TARGET-30-PALXTB-01A-01D.M	NBL, MYCN non-amplified	NA	PALXTB_01_Solid Tissue_Primary Tumor
PALZRG	01	TARGET	TARGET-30-PALZRG-01A-01W	NA	TARGET-30-PALZRG-01A-01D.M	NBL, MYCN amplified	NA	PALZRG_01_Solid Tissue_Primary Tumor
PALZSL	01	TARGET	TARGET-30-PALZSL-01A-01W	NA	NA	NBL, MYCN amplified	NA	PALZSL_01_Solid Tissue_Primary Tumor
PALZZV	01	TARGET	TARGET-30-PALZZV-01A-01W	TARGET-30-PALZZV-01A-01R	TARGET-30-PALZZV-01A-01D.M	NBL, MYCN amplified	NA	PALZZV_01_Solid Tissue_Primary Tumor
PAMBAC	01	TARGET	TARGET-30-PAMBAC-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAMBAC_01_Solid Tissue_Primary Tumor
PAMBMJ	01	TARGET	NA	TARGET-30-PAMBMJ-01A-01R	NA	NBL, MYCN non-amplified	NA	PAMBMJ_01_Solid Tissue_Primary Tumor
PAMCXF	01	TARGET	TARGET-30-PAMCXF-01A-01W	NA	TARGET-30-PAMCXF-01A-01D.M	NBL, MYCN amplified	NA	PAMCXF_01_Solid Tissue_Primary Tumor
PAMDAL	01	TARGET	TARGET-30-PAMDAL-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAMDAL_01_Solid Tissue_Primary Tumor
PAMEZH	01	TARGET	NA	TARGET-30-PAMEZH-01A-01R	NA	NBL, MYCN non-amplified	NA	PAMEZH_01_Solid Tissue_Primary Tumor
PAMMWD	01	TARGET	TARGET-30-PAMMWD-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAMMWD_01_Solid Tissue_Primary Tumor
PAMMXF	01	TARGET	TARGET-30-PAMMXF-01A-01W	TARGET-30-PAMMXF-01A-01R	TARGET-30-PAMMXF-01A-01D.M	NBL, MYCN amplified	NA	PAMMXF_01_Solid Tissue_Primary Tumor
PAMNLH	01	TARGET	NA	TARGET-30-PAMNLH-01A-01R	TARGET-30-PAMNLH-01A-01D.M	NBL, MYCN non-amplified	NA	PAMNLH_01_Solid Tissue_Primary Tumor
PAMNYX	01	TARGET	TARGET-30-PAMNYX-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PAMNYX_01_Solid Tissue_Primary Tumor
PAMUTD	01	TARGET	TARGET-30-PAMUTD-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAMUTD_01_Solid Tissue_Primary Tumor
PAMVLG	01	TARGET	TARGET-30-PAMVLG-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PAMVLG_01_Solid Tissue_Primary Tumor
PAMVRA	01	TARGET	TARGET-30-PAMVRA-01A-01W	TARGET-30-PAMVRA-01A-01R	NA	NBL, MYCN non-amplified	NA	PAMVRA_01_Solid Tissue_Primary Tumor
PAMYCE	01	TARGET	TARGET-30-PAMYCE-01A-01W	TARGET-30-PAMYCE-01A-01R	TARGET-30-PAMYCE-01A-01D.M	NBL, MYCN non-amplified	NA	PAMYCE_01_Solid Tissue_Primary Tumor
PAMZGT	01	TARGET	TARGET-30-PAMZGT-01A-01W	TARGET-30-PAMZGT-01A-01R	TARGET-30-PAMZGT-01A-01D.M	NBL, MYCN amplified	NA	PAMZGT_01_Solid Tissue_Primary Tumor
PAMZMG	01	TARGET	TARGET-30-PAMZMG-01A-01W	TARGET-30-PAMZMG-01A-01R	TARGET-30-PAMZMG-01A-01D.M	NBL, MYCN amplified	NA	PAMZMG_01_Solid Tissue_Primary Tumor
PANBCI	01	TARGET	TARGET-30-PANBCI-01A-01W	NA	NA	NBL, MYCN amplified	NA	PANBCI_01_Solid Tissue_Primary Tumor
PANBJH	01	TARGET	NA	TARGET-30-PANBJH-01A-01R	NA	NBL, MYCN non-amplified	NA	PANBJH_01_Solid Tissue_Primary Tumor
PANBMJ	01	TARGET	TARGET-30-PANBMJ-01A-01W	TARGET-30-PANBMJ-01A-01R	TARGET-30-PANBMJ-01A-01D.M	NBL, MYCN non-amplified	NA	PANBMJ_01_Solid Tissue_Primary Tumor
PANBSP	01	TARGET	TARGET-30-PANBSP-01A-01W	TARGET-30-PANBSP-01A-01R	TARGET-30-PANBSP-01A-01D.M	NBL, MYCN non-amplified	NA	PANBSP_01_Solid Tissue_Primary Tumor
PANGXK	01	TARGET	NA	TARGET-30-PANGXK-01A-01R	NA	NBL, MYCN non-amplified	NA	PANGXK_01_Solid Tissue_Primary Tumor
PANIPC	06	TARGET	TARGET-30-PANIPC-06A-01W	NA	NA	NBL, MYCN amplified	NA	PANIPC_06_Solid Tissue_Metastatic
PANJLH	01	TARGET	NA	TARGET-30-PANJLH-01A-01R	NA	NBL, MYCN amplified	NA	PANJLH_01_Solid Tissue_Primary Tumor
PANKFE	01	TARGET	TARGET-30-PANKFE-01A-01W	TARGET-30-PANKFE-01A-01R	TARGET-30-PANKFE-01A-01D.M	NBL, MYCN non-amplified	NA	PANKFE_01_Solid Tissue_Primary Tumor
PANLET	01	TARGET	TARGET-30-PANLET-01A-01D	TARGET-30-PANLET-01A-01R	TARGET-30-PANLET-01A-01D.M	NBL, MYCN non-amplified	NA	PANLET_01_Solid Tissue_Primary Tumor
PANNMS	01	TARGET	NA	TARGET-30-PANNMS-01A-01R	TARGET-30-PANNMS-01A-01D.M	NBL, MYCN non-amplified	NA	PANNMS_01_Solid Tissue_Primary Tumor
PANPVI	01	TARGET	TARGET-30-PANPVI-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PANPVI_01_Solid Tissue_Primary Tumor
PANRHJ	01	TARGET	TARGET-30-PANRHJ-01A-01W	TARGET-30-PANRHJ-01A-01R	TARGET-30-PANRHJ-01A-01D.M	NBL, MYCN non-amplified	NA	PANRHJ_01_Solid Tissue_Primary Tumor
PANRRW	01	TARGET	NA	TARGET-30-PANRRW-01A-01R	TARGET-30-PANRRW-01A-01D.M	NBL, MYCN non-amplified	NA	PANRRW_01_Solid Tissue_Primary Tumor
PANRVJ	01	TARGET	TARGET-30-PANRVJ-01A-01D	TARGET-30-PANRVJ-01A-01R	TARGET-30-PANRVJ-01A-01D.M	NBL, MYCN non-amplified	NA	PANRVJ_01_Solid Tissue_Primary Tumor
