Kids_First_Participant_ID	sample_id	cohort	Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	molecular_subtype	molecular_subtype_methyl	match_id
PAPTCR	01	TARGET	TARGET-30-PAPTCR-01A-01D	TARGET-30-PAPTCR-01A-01R	TARGET-30-PAPTCR-01A-01D.M	NBL, MYCN non-amplified	NA	PAPTCR_01_Solid Tissue_Primary Tumor
PAPTDH	01	TARGET	NA	TARGET-30-PAPTDH-01A-01R	TARGET-30-PAPTDH-01A-01D.M	NBL, MYCN non-amplified	NA	PAPTDH_01_Solid Tissue_Primary Tumor
PAPTFZ	01	TARGET	TARGET-30-PAPTFZ-01A-01D	TARGET-30-PAPTFZ-01A-01R	TARGET-30-PAPTFZ-01A-01D.M	NBL, MYCN amplified	NA	PAPTFZ_01_Solid Tissue_Primary Tumor
PAPTJB	01	TARGET	TARGET-30-PAPTJB-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PAPTJB_01_Solid Tissue_Primary Tumor
PAPTLA	01	TARGET	TARGET-30-PAPTLA-01A-01D	NA	TARGET-30-PAPTLA-01A-01D.M	NBL, MYCN non-amplified	NA	PAPTLA_01_Solid Tissue_Primary Tumor
PAPTLV	01	TARGET	TARGET-30-PAPTLV-01A-01D	TARGET-30-PAPTLV-01A-01R	TARGET-30-PAPTLV-01A-01D.M	NBL, MYCN amplified	NA	PAPTLV_01_Solid Tissue_Primary Tumor
PAPUEB	01	TARGET	NA	TARGET-30-PAPUEB-01A-01R	NA	NBL, MYCN non-amplified	NA	PAPUEB_01_Solid Tissue_Primary Tumor
PAPUJU	01	TARGET	TARGET-30-PAPUJU-01A-01D	NA	TARGET-30-PAPUJU-01A-01D.M	NBL, MYCN non-amplified	NA	PAPUJU_01_Solid Tissue_Primary Tumor
PAPUNH	01	TARGET	NA	TARGET-30-PAPUNH-01A-01R	TARGET-30-PAPUNH-01A-01D.M	NBL, MYCN amplified	NA	PAPUNH_01_Solid Tissue_Primary Tumor
PAPUWY	01	TARGET	TARGET-30-PAPUWY-01A-01D	TARGET-30-PAPUWY-01A-01R	TARGET-30-PAPUWY-01A-01D.M	NBL, MYCN non-amplified	NA	PAPUWY_01_Solid Tissue_Primary Tumor
PAPVEB	04	TARGET	NA	TARGET-30-PAPVEB-04A-01R	TARGET-30-PAPVEB-04A-01D.M	NBL, MYCN non-amplified	NA	PAPVEB_04_Bone Marrow_Recurrence
PAPVFD	01	TARGET	TARGET-30-PAPVFD-01A-01D	TARGET-30-PAPVFD-01A-01R	TARGET-30-PAPVFD-01A-01D.M	NBL, MYCN non-amplified	NA	PAPVFD_01_Solid Tissue_Primary Tumor
PAPVRN	01	TARGET	TARGET-30-PAPVRN-01A-01D	TARGET-30-PAPVRN-01A-01R	TARGET-30-PAPVRN-01A-01D.M	NBL, MYCN non-amplified	NA	PAPVRN_01_Solid Tissue_Primary Tumor
PAPVXS	01	TARGET	TARGET-30-PAPVXS-01A-01D	TARGET-30-PAPVXS-01A-01R	TARGET-30-PAPVXS-01A-01D.M	NBL, MYCN non-amplified	NA	PAPVXS_01_Solid Tissue_Primary Tumor
PAPWFY	01	TARGET	TARGET-30-PAPWFY-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAPWFY_01_Solid Tissue_Primary Tumor
PAPYNZ	01	TARGET	TARGET-30-PAPYNZ-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAPYNZ_01_Solid Tissue_Primary Tumor
PAPZFW	01	TARGET	TARGET-30-PAPZFW-01A-01D	NA	TARGET-30-PAPZFW-01A-01D.M	NBL, MYCN non-amplified	NA	PAPZFW_01_Solid Tissue_Primary Tumor
PAPZYP	01	TARGET	NA	TARGET-30-PAPZYP-01A-01R	TARGET-30-PAPZYP-01A-01D.M	NBL, MYCN amplified	NA	PAPZYP_01_Solid Tissue_Primary Tumor
PAPZYZ	01	TARGET	TARGET-30-PAPZYZ-01A-01D	TARGET-30-PAPZYZ-01A-01R	TARGET-30-PAPZYZ-01A-01D.M	NBL, MYCN amplified	NA	PAPZYZ_01_Solid Tissue_Primary Tumor
PARABJ	01	TARGET	TARGET-30-PARABJ-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARABJ_01_Solid Tissue_Primary Tumor
PARACM	01	TARGET	NA	TARGET-30-PARACM-01A-01R	TARGET-30-PARACM-01A-01D.M	NBL, MYCN non-amplified	NA	PARACM_01_Solid Tissue_Primary Tumor
PARACR	01	TARGET	TARGET-30-PARACR-01A-01D	NA	NA	NBL, To be classified	NA	PARACR_01_Solid Tissue_Primary Tumor
PARACS	01	TARGET	TARGET-30-PARACS-01A-01D	TARGET-30-PARACS-01A-01R	TARGET-30-PARACS-01A-01D.M	NBL, MYCN non-amplified	NA	PARACS_01_Solid Tissue_Primary Tumor
PARAMT	01	TARGET	TARGET-30-PARAMT-01A-01D	TARGET-30-PARAMT-01A-01R	TARGET-30-PARAMT-01A-01D.M	NBL, MYCN non-amplified	NA	PARAMT_01_Solid Tissue_Primary Tumor
PARASL	01	TARGET	TARGET-30-PARASL-01A-01D	NA	TARGET-30-PARASL-01A-01D.M	NBL, MYCN non-amplified	NA	PARASL_01_Solid Tissue_Primary Tumor
PARBAJ	01	TARGET	NA	TARGET-30-PARBAJ-01A-01R	TARGET-30-PARBAJ-01A-01D.M	NBL, MYCN non-amplified	NA	PARBAJ_01_Solid Tissue_Primary Tumor
PARBAJ	02	TARGET	NA	TARGET-30-PARBAJ-02A-01R	TARGET-30-PARBAJ-02A-01D.M	NBL, MYCN non-amplified	NA	PARBAJ_02_Solid Tissue_Recurrence
PARBGP	01	TARGET	TARGET-30-PARBGP-01A-01D	TARGET-30-PARBGP-01A-01R	TARGET-30-PARBGP-01A-01D.M	NBL, MYCN non-amplified	NA	PARBGP_01_Solid Tissue_Primary Tumor
PARBLH	01	TARGET	TARGET-30-PARBLH-01A-01D	NA	TARGET-30-PARBLH-01A-01D.M	NBL, MYCN non-amplified	NA	PARBLH_01_Solid Tissue_Primary Tumor
PARCRR	01	TARGET	TARGET-30-PARCRR-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARCRR_01_Solid Tissue_Primary Tumor
PARDCK	01	TARGET	TARGET-30-PARDCK-01A-01D	TARGET-30-PARDCK-01A-01R	TARGET-30-PARDCK-01A-01D.M	NBL, MYCN non-amplified	NA	PARDCK_01_Solid Tissue_Primary Tumor
PARDIW	01	TARGET	TARGET-30-PARDIW-01A-01D	TARGET-30-PARDIW-01A-01R	TARGET-30-PARDIW-01A-01D.M	NBL, MYCN non-amplified	NA	PARDIW_01_Solid Tissue_Primary Tumor
PARDVT	01	TARGET	TARGET-30-PARDVT-01A-01D	NA	TARGET-30-PARDVT-01A-01D.M	NBL, MYCN non-amplified	NA	PARDVT_01_Solid Tissue_Primary Tumor
PARDYU	01	TARGET	TARGET-30-PARDYU-01A-01D	NA	TARGET-30-PARDYU-01A-01D.M	NBL, MYCN amplified	NA	PARDYU_01_Solid Tissue_Primary Tumor
PAREAG	01	TARGET	TARGET-30-PAREAG-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PAREAG_01_Solid Tissue_Primary Tumor
PARETE	01	TARGET	TARGET-30-PARETE-01A-01D	NA	TARGET-30-PARETE-01A-01D.M	NBL, MYCN amplified	NA	PARETE_01_Solid Tissue_Primary Tumor
PARFRE	01	TARGET	NA	TARGET-30-PARFRE-01A-01R	TARGET-30-PARFRE-01A-01D.M	NBL, MYCN non-amplified	NA	PARFRE_01_Solid Tissue_Primary Tumor
PARFWB	01	TARGET	TARGET-30-PARFWB-01A-01D	TARGET-30-PARFWB-01A-01R	TARGET-30-PARFWB-01A-01D.M	NBL, MYCN non-amplified	NA	PARFWB_01_Solid Tissue_Primary Tumor
PARGHY	01	TARGET	TARGET-30-PARGHY-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARGHY_01_Solid Tissue_Primary Tumor
PARGKK	01	TARGET	TARGET-30-PARGKK-01A-01D	TARGET-30-PARGKK-01A-01R	TARGET-30-PARGKK-01A-01D.M	NBL, MYCN non-amplified	NA	PARGKK_01_Solid Tissue_Primary Tumor
PARGZK	01	TARGET	TARGET-30-PARGZK-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARGZK_01_Solid Tissue_Primary Tumor
PARHAM	01	TARGET	NA	TARGET-30-PARHAM-01A-01R	TARGET-30-PARHAM-01A-01D.M	NBL, MYCN non-amplified	NA	PARHAM_01_Solid Tissue_Primary Tumor
PARHAM	02	TARGET	NA	TARGET-30-PARHAM-02A-01R	TARGET-30-PARHAM-02A-01D.M	NBL, MYCN non-amplified	NA	PARHAM_02_Solid Tissue_Recurrence
PARHDE	01	TARGET	TARGET-30-PARHDE-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARHDE_01_Solid Tissue_Primary Tumor
PARHUX	01	TARGET	TARGET-30-PARHUX-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARHUX_01_Solid Tissue_Primary Tumor
PARJEN	01	TARGET	TARGET-30-PARJEN-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARJEN_01_Solid Tissue_Primary Tumor
PARJMX	01	TARGET	TARGET-30-PARJMX-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARJMX_01_Solid Tissue_Primary Tumor
PARJVP	01	TARGET	NA	TARGET-30-PARJVP-01A-01R	TARGET-30-PARJVP-01A-01D.M	NBL, MYCN non-amplified	NA	PARJVP_01_Solid Tissue_Primary Tumor
PARKAG	01	TARGET	TARGET-30-PARKAG-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARKAG_01_Solid Tissue_Primary Tumor
PARKGJ	01	TARGET	TARGET-30-PARKGJ-01A-01D	TARGET-30-PARKGJ-01A-01R	TARGET-30-PARKGJ-01A-01D.M	NBL, MYCN non-amplified	NA	PARKGJ_01_Solid Tissue_Primary Tumor
PARKGJ	01	TARGET	TARGET-30-PARKGJ-01A-01D	TARGET-30-PARKGJ-01A-01R	TARGET-30-PARKGJ-01A-02D.M	NBL, MYCN non-amplified	NA	PARKGJ_01_Solid Tissue_Primary Tumor
PARKNP	01	TARGET	TARGET-30-PARKNP-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARKNP_01_Solid Tissue_Primary Tumor
PARKZF	01	TARGET	TARGET-30-PARKZF-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARKZF_01_Solid Tissue_Primary Tumor
PARLMK	01	TARGET	TARGET-30-PARLMK-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARLMK_01_Solid Tissue_Primary Tumor
PARLTG	01	TARGET	TARGET-30-PARLTG-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARLTG_01_Solid Tissue_Primary Tumor
PARMDD	01	TARGET	TARGET-30-PARMDD-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARMDD_01_Solid Tissue_Primary Tumor
PARMLF	01	TARGET	TARGET-30-PARMLF-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARMLF_01_Solid Tissue_Primary Tumor
PARMPP	01	TARGET	TARGET-30-PARMPP-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARMPP_01_Solid Tissue_Primary Tumor
PARNLJ	01	TARGET	TARGET-30-PARNLJ-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARNLJ_01_Solid Tissue_Primary Tumor
PARNNC	01	TARGET	NA	TARGET-30-PARNNC-01A-01R	TARGET-30-PARNNC-01A-01D.M	NBL, MYCN non-amplified	NA	PARNNC_01_Solid Tissue_Primary Tumor
PARNNG	01	TARGET	TARGET-30-PARNNG-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARNNG_01_Solid Tissue_Primary Tumor
PARNTS	01	TARGET	TARGET-30-PARNTS-01A-01D	NA	TARGET-30-PARNTS-01A-01D.M	NBL, MYCN amplified	NA	PARNTS_01_Solid Tissue_Primary Tumor
PARPGU	01	TARGET	TARGET-30-PARPGU-01A-01D	NA	NA	NBL, To be classified	NA	PARPGU_01_Solid Tissue_Primary Tumor
PARPUF	01	TARGET	TARGET-30-PARPUF-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARPUF_01_Solid Tissue_Primary Tumor
PARRLH	01	TARGET	TARGET-30-PARRLH-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARRLH_01_Solid Tissue_Primary Tumor
PARSBI	01	TARGET	TARGET-30-PARSBI-01A-01D	TARGET-30-PARSBI-01A-01R	TARGET-30-PARSBI-01A-01D.M	NBL, MYCN non-amplified	NA	PARSBI_01_Solid Tissue_Primary Tumor
PARSRJ	01	TARGET	TARGET-30-PARSRJ-01A-01D	NA	TARGET-30-PARSRJ-01A-01D.M	NBL, MYCN amplified	NA	PARSRJ_01_Solid Tissue_Primary Tumor
PARSVF	01	TARGET	TARGET-30-PARSVF-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARSVF_01_Solid Tissue_Primary Tumor
PARSXI	01	TARGET	TARGET-30-PARSXI-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARSXI_01_Solid Tissue_Primary Tumor
PARSZV	01	TARGET	TARGET-30-PARSZV-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARSZV_01_Solid Tissue_Primary Tumor
PARTCE	01	TARGET	TARGET-30-PARTCE-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARTCE_01_Solid Tissue_Primary Tumor
PARTPF	01	TARGET	TARGET-30-PARTPF-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARTPF_01_Solid Tissue_Primary Tumor
PARTRP	01	GMKF	BS_4RX1AAVV	BS_S0B4WASX	NA	NBL, MYCN non-amplified	NA	PARTRP_01_Solid Tissue_Primary Tumor
PARTRP	01	TARGET	TARGET-30-PARTRP-01A-01D	BS_S0B4WASX	NA	NBL, MYCN non-amplified	NA	PARTRP_01_Solid Tissue_Primary Tumor
PARTYI	01	TARGET	TARGET-30-PARTYI-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARTYI_01_Solid Tissue_Primary Tumor
PARTZW	01	TARGET	TARGET-30-PARTZW-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARTZW_01_Solid Tissue_Primary Tumor
PARUCL	01	TARGET	TARGET-30-PARUCL-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARUCL_01_Solid Tissue_Primary Tumor
PARUCM	01	TARGET	TARGET-30-PARUCM-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARUCM_01_Solid Tissue_Primary Tumor
PARUFS	01	GMKF	BS_J2DA5W77	NA	NA	NBL, MYCN non-amplified	NA	PARUFS_01_Solid Tissue_Primary Tumor
PARUGX	01	TARGET	TARGET-30-PARUGX-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARUGX_01_Solid Tissue_Primary Tumor
PARUPN	01	TARGET	TARGET-30-PARUPN-01A-01D	NA	NA	NBL, To be classified	NA	PARUPN_01_Solid Tissue_Primary Tumor
PARUPT	01	TARGET	TARGET-30-PARUPT-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARUPT_01_Solid Tissue_Primary Tumor
PARURB	01	TARGET	TARGET-30-PARURB-01A-01D	NA	TARGET-30-PARURB-01A-01D.M	NBL, MYCN non-amplified	NA	PARURB_01_Solid Tissue_Primary Tumor
PARUTJ	01	GMKF	BS_K2K5YSDS	BS_S5KDWVEA	NA	NBL, MYCN non-amplified	NA	PARUTJ_01_Solid Tissue_Primary Tumor
PARUTJ	01	TARGET	TARGET-30-PARUTJ-01A-01D	BS_S5KDWVEA	NA	NBL, MYCN non-amplified	NA	PARUTJ_01_Solid Tissue_Primary Tumor
PARUTX	01	TARGET	TARGET-30-PARUTX-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARUTX_01_Solid Tissue_Primary Tumor
PARUZA	01	GMKF	BS_808H2FQN	BS_ERHKS2Y7	NA	NBL, MYCN non-amplified	NA	PARUZA_01_Solid Tissue_Primary Tumor
PARVFJ	01	TARGET	TARGET-30-PARVFJ-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARVFJ_01_Solid Tissue_Primary Tumor
PARVHG	01	TARGET	TARGET-30-PARVHG-01A-01D	NA	NA	NBL, To be classified	NA	PARVHG_01_Solid Tissue_Primary Tumor
PARVIH	01	TARGET	TARGET-30-PARVIH-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARVIH_01_Solid Tissue_Primary Tumor
PARVLK	01	TARGET	TARGET-30-PARVLK-01A-01D	TARGET-30-PARVLK-01A-01R	TARGET-30-PARVLK-01A-01D.M	NBL, MYCN non-amplified	NA	PARVLK_01_Solid Tissue_Primary Tumor
PARVMU	01	TARGET	TARGET-30-PARVMU-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARVMU_01_Solid Tissue_Primary Tumor
PARVNT	01	TARGET	TARGET-30-PARVNT-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARVNT_01_Solid Tissue_Primary Tumor
PARVPD	01	GMKF	BS_Z862V8M7	BS_NPVE58AT	NA	NBL, MYCN non-amplified	NA	PARVPD_01_Solid Tissue_Primary Tumor
PARVVM	09	TARGET	TARGET-30-PARVVM-09A-01D	NA	NA	NBL, MYCN amplified	NA	PARVVM_09_Bone Marrow_Primary Tumor
PARVWL	01	TARGET	TARGET-30-PARVWL-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARVWL_01_Solid Tissue_Primary Tumor
PARVZT	01	GMKF	BS_8FYZMP93	NA	NA	NBL, MYCN non-amplified	NA	PARVZT_01_Solid Tissue_Primary Tumor
PARVZT	01	TARGET	TARGET-30-PARVZT-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARVZT_01_Solid Tissue_Primary Tumor
PARWAM	01	TARGET	TARGET-30-PARWAM-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARWAM_01_Solid Tissue_Primary Tumor
PARWBC	01	TARGET	TARGET-30-PARWBC-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARWBC_01_Solid Tissue_Primary Tumor
PARWEH	01	TARGET	TARGET-30-PARWEH-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARWEH_01_Solid Tissue_Primary Tumor
PARWEV	01	GMKF	BS_C8T56CWR	BS_DBXCETW2	NA	NBL, MYCN non-amplified	NA	PARWEV_01_Solid Tissue_Primary Tumor
PARWEV	01	TARGET	TARGET-30-PARWEV-01A-01D	BS_DBXCETW2	NA	NBL, MYCN non-amplified	NA	PARWEV_01_Solid Tissue_Primary Tumor
PARWTY	01	TARGET	TARGET-30-PARWTY-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARWTY_01_Solid Tissue_Primary Tumor
PARXAX	01	TARGET	TARGET-30-PARXAX-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXAX_01_Solid Tissue_Primary Tumor
PARXDW	01	GMKF	BS_75HW641M	NA	NA	NBL, MYCN non-amplified	NA	PARXDW_01_Solid Tissue_Primary Tumor
PARXLL	01	TARGET	TARGET-30-PARXLL-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXLL_01_Solid Tissue_Primary Tumor
PARXLN	01	TARGET	TARGET-30-PARXLN-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXLN_01_Solid Tissue_Primary Tumor
PARXMH	01	TARGET	TARGET-30-PARXMH-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXMH_01_Solid Tissue_Primary Tumor
PARXMM	01	TARGET	TARGET-30-PARXMM-01A-01D	NA	NA	NBL, To be classified	NA	PARXMM_01_Solid Tissue_Primary Tumor
PARXPD	01	GMKF	BS_29DZNQYC	BS_3N0ZS3G3	NA	NBL, MYCN non-amplified	NA	PARXPD_01_Solid Tissue_Primary Tumor
PARXPD	01	TARGET	TARGET-30-PARXPD-01A-01D	BS_3N0ZS3G3	NA	NBL, MYCN non-amplified	NA	PARXPD_01_Solid Tissue_Primary Tumor
PARXVA	01	TARGET	TARGET-30-PARXVA-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXVA_01_Solid Tissue_Primary Tumor
PARXXC	01	TARGET	TARGET-30-PARXXC-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXXC_01_Solid Tissue_Primary Tumor
PARXZA	01	TARGET	TARGET-30-PARXZA-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARXZA_01_Solid Tissue_Primary Tumor
PARYAG	01	GMKF	BS_29MQMSCM	BS_YZJ5YQ12	NA	NBL, MYCN non-amplified	NA	PARYAG_01_Solid Tissue_Primary Tumor
PARYEH	01	GMKF	BS_1G5N5R8S	BS_2Y28PRQC	NA	NBL, MYCN non-amplified	NA	PARYEH_01_Solid Tissue_Primary Tumor
PARYEH	01	TARGET	TARGET-30-PARYEH-01A-01D	BS_2Y28PRQC	NA	NBL, MYCN non-amplified	NA	PARYEH_01_Solid Tissue_Primary Tumor
PARYNK	01	TARGET	TARGET-30-PARYNK-01A-01D	TARGET-30-PARYNK-01A-01R	TARGET-30-PARYNK-01A-01D.M	NBL, MYCN non-amplified	NA	PARYNK_01_Solid Tissue_Primary Tumor
PARYRJ	01	GMKF	BS_92YFTG9R	BS_JY850J9G	NA	NBL, MYCN non-amplified	NA	PARYRJ_01_Solid Tissue_Primary Tumor
PARYRJ	01	TARGET	TARGET-30-PARYRJ-01A-01D	BS_JY850J9G	NA	NBL, MYCN non-amplified	NA	PARYRJ_01_Solid Tissue_Primary Tumor
PARYSR	01	TARGET	TARGET-30-PARYSR-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARYSR_01_Solid Tissue_Primary Tumor
PARYUK	01	TARGET	TARGET-30-PARYUK-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARYUK_01_Solid Tissue_Primary Tumor
PARYVD	01	TARGET	TARGET-30-PARYVD-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARYVD_01_Solid Tissue_Primary Tumor
PARYWX	01	TARGET	TARGET-30-PARYWX-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARYWX_01_Solid Tissue_Primary Tumor
PARYXW	01	TARGET	TARGET-30-PARYXW-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARYXW_01_Solid Tissue_Primary Tumor
PARZBH	01	GMKF	BS_F6MNG2S0	BS_BG0ZDND2	NA	NBL, MYCN non-amplified	NA	PARZBH_01_Solid Tissue_Primary Tumor
PARZBH	01	TARGET	TARGET-30-PARZBH-01A-01D	BS_BG0ZDND2	NA	NBL, MYCN non-amplified	NA	PARZBH_01_Solid Tissue_Primary Tumor
PARZCJ	01	GMKF	BS_1G3QX306	BS_FHNTKFVJ	TARGET-30-PARZCJ-01A-01D.M	NBL, MYCN non-amplified	NA	PARZCJ_01_Solid Tissue_Primary Tumor
PARZCJ	01	GMKF	BS_1G3QX306	TARGET-30-PARZCJ-01A-01R	TARGET-30-PARZCJ-01A-01D.M	NBL, MYCN non-amplified	NA	PARZCJ_01_Solid Tissue_Primary Tumor
PARZHA	01	TARGET	NA	TARGET-30-PARZHA-01A-01R	TARGET-30-PARZHA-01A-01D.M	NBL, MYCN non-amplified	NA	PARZHA_01_Solid Tissue_Primary Tumor
PARZIP	01	TARGET	TARGET-30-PARZIP-01A-01D	TARGET-30-PARZIP-01A-01R	TARGET-30-PARZIP-01A-01D.M	NBL, MYCN non-amplified	NA	PARZIP_01_Solid Tissue_Primary Tumor
PARZKK	09	TARGET	TARGET-30-PARZKK-09A-01D	NA	NA	NBL, MYCN amplified	NA	PARZKK_09_Bone Marrow_Primary Tumor
PARZMY	06	TARGET	TARGET-30-PARZMY-06A-01D	NA	NA	NBL, MYCN amplified	NA	PARZMY_06_Solid Tissue_Metastatic
PARZNV	01	TARGET	TARGET-30-PARZNV-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARZNV_01_Solid Tissue_Primary Tumor
PARZZC	01	TARGET	TARGET-30-PARZZC-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PARZZC_01_Solid Tissue_Primary Tumor
PARZZD	01	TARGET	TARGET-30-PARZZD-01A-01D	NA	NA	NBL, MYCN amplified	NA	PARZZD_01_Solid Tissue_Primary Tumor
PASAAB	01	TARGET	TARGET-30-PASAAB-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAAB_01_Solid Tissue_Primary Tumor
PASAAN	01	TARGET	TARGET-30-PASAAN-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAAN_01_Solid Tissue_Primary Tumor
PASAEJ	01	GMKF	BS_AZ6KVKC4	NA	NA	NBL, MYCN non-amplified	NA	PASAEJ_01_Solid Tissue_Primary Tumor
PASAFG	01	TARGET	TARGET-30-PASAFG-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAFG_01_Solid Tissue_Primary Tumor
PASAGA	01	GMKF	BS_7MXT22QP	BS_9R8GFR36	NA	NBL, MYCN non-amplified	NA	PASAGA_01_Solid Tissue_Primary Tumor
PASAHC	01	GMKF	BS_Z2G9EG1X	BS_AFRGW493	NA	NBL, MYCN non-amplified	NA	PASAHC_01_Solid Tissue_Primary Tumor
PASAHC	01	TARGET	TARGET-30-PASAHC-01A-01D	BS_AFRGW493	NA	NBL, MYCN non-amplified	NA	PASAHC_01_Solid Tissue_Primary Tumor
PASAJU	01	TARGET	TARGET-30-PASAJU-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAJU_01_Solid Tissue_Primary Tumor
PASAJY	01	TARGET	TARGET-30-PASAJY-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAJY_01_Solid Tissue_Primary Tumor
PASALE	01	TARGET	TARGET-30-PASALE-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASALE_01_Solid Tissue_Primary Tumor
PASANE	01	TARGET	TARGET-30-PASANE-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASANE_01_Solid Tissue_Primary Tumor
PASATF	01	TARGET	TARGET-30-PASATF-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASATF_01_Solid Tissue_Primary Tumor
PASAVJ	01	GMKF	BS_J3707KE2	BS_28ZRHXX8	NA	NBL, MYCN non-amplified	NA	PASAVJ_01_Solid Tissue_Primary Tumor
PASAVJ	01	TARGET	TARGET-30-PASAVJ-01A-01D	BS_28ZRHXX8	NA	NBL, MYCN non-amplified	NA	PASAVJ_01_Solid Tissue_Primary Tumor
PASAZZ	01	TARGET	TARGET-30-PASAZZ-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASAZZ_01_Solid Tissue_Primary Tumor
PASBDN	01	GMKF	BS_JGVTE14P	BS_15ED4VDX	NA	NBL, MYCN non-amplified	NA	PASBDN_01_Solid Tissue_Primary Tumor
PASBDN	01	TARGET	TARGET-30-PASBDN-01A-01D	BS_15ED4VDX	NA	NBL, MYCN non-amplified	NA	PASBDN_01_Solid Tissue_Primary Tumor
PASBGV	01	TARGET	TARGET-30-PASBGV-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASBGV_01_Solid Tissue_Primary Tumor
PASBHS	01	GMKF	BS_SSHQFYA8	BS_EF8F5GH8	NA	NBL, MYCN non-amplified	NA	PASBHS_01_Solid Tissue_Primary Tumor
PASBJY	01	TARGET	TARGET-30-PASBJY-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASBJY_01_Solid Tissue_Primary Tumor
PASBKP	01	TARGET	TARGET-30-PASBKP-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PASBKP_01_Solid Tissue_Primary Tumor
PASBMW	01	TARGET	TARGET-30-PASBMW-01A-01D	NA	NA	NBL, MYCN amplified	NA	PASBMW_01_Solid Tissue_Primary Tumor
