"","NBL_over_GTEX_logFC","average_logCPM","LR","PValue","BH FDR"
"ZBED5",0.000172883476717157,5.3730104951169,3.4362006772426e-05,0.995322898080097,0.995322898080097
"FTSJ3",-0.000748212880064784,5.45922455180898,0.00057371381262783,0.9808906379261,0.981357951236212
"DEAF1",-0.00163541131282868,5.3273787844457,0.000802454500444583,0.977400845588477,0.978332590913156
"VPS16",-0.00120739003172687,5.26233346146953,0.00171425217013166,0.96697419989522,0.96835756784929
"YTHDF1",-0.00139620322459723,5.5566993138886,0.00286177122870868,0.957337095827703,0.959164075018214
"STAU1",0.0018111284470398,6.43286411669059,0.00424837321043015,0.948031046459482,0.950293650388979
"PRPF19",0.00321241021021108,6.21026235988272,0.00929220376019657,0.923206007307791,0.925851296727011
"TFDP1",0.00401357732757393,5.5477887966569,0.00945775047875941,0.92252709443645,0.925612469334231
"TMX3",0.00322897210745695,5.43622463319934,0.0108163937020436,0.917167846495879,0.920675180516895
"PSME3",0.00536861692818629,6.03283576532631,0.0250295987334539,0.874293329707551,0.878056428687641
"TAF9",-0.00776557187661115,4.82491973644721,0.046555985318264,0.829168312178825,0.833135624677288
"ACOX1",0.0106417196244417,6.07278610264758,0.0482945573330653,0.82605789670938,0.830407651072139
"RANGAP1",-0.0110088280743399,6.64503896762687,0.0548449329362484,0.814837516419804,0.819520490652102
"MPHOSPH10",-0.00775931899955824,4.7290892609342,0.063967949939979,0.800330914716953,0.805316205512986
"CSNK1D",-0.00932960620392178,7.51183043923956,0.0674108864459413,0.795144513933232,0.8004810542952
"HSPD1",0.0159257787826786,7.72395034373438,0.0840844852864393,0.771836702777227,0.777389484811596
"GAA",-0.0133606069207111,6.24212699299133,0.100595788513601,0.751115832661639,0.756882556904723
"HIPK1",-0.0104246312842364,6.35720595260379,0.102512439927523,0.748835189070251,0.754946662048741
"CUL5",-0.0132604070441369,5.06927330720318,0.106623937190307,0.744020967116464,0.750453425045425
"CIC",0.0113965355859699,7.05610488215449,0.107225180239766,0.743325617067116,0.750112347833226
"PDAP1",0.011017937041355,6.31719438369548,0.109423264075303,0.740801699092218,0.74792479235272
"EEFSEC",-0.0105953093545067,4.14666361295198,0.114183483279703,0.735430660008969,0.742859252534312
"ISCA1",-0.0133366955122533,5.1186023797666,0.123976269318518,0.724761288344929,0.732434410743191
"UBA2",-0.0136094709817247,6.37860587915277,0.126111915218644,0.722497900115845,0.730498599057907
"HNRNPC",0.0121262712347209,8.10835572509818,0.138129418306562,0.710147750688914,0.718357551274913
"TMEM248",0.0100160482950284,6.48924494823,0.173586258890282,0.676944056551241,0.685100009039811
"NMD3",-0.0150272908686143,5.07174285906259,0.176941272033218,0.674015148182695,0.682464711274667
"EIF2S3",-0.0163710450977302,6.65725075264961,0.182911658715966,0.668882856096001,0.677594789098699
"ARL14EP",-0.0134665667087079,4.08694840996345,0.192887060818975,0.660524526306197,0.669450533418443
"HGS",-0.0126188289467723,6.84093954218589,0.203464844493283,0.651938539844594,0.661067568166899
"COX15",0.0146036172614696,4.8115437056399,0.217416722231064,0.641015335257143,0.650305412579711
"LMAN2L",0.0142162403298928,4.24940308131921,0.223175242881553,0.636631120423728,0.646169817733122
"COG3",-0.0133227295296166,5.03889723141793,0.228597008752331,0.632566082258112,0.642354338850113
"CRADD",0.0173748791804974,3.15651473124468,0.230511260830099,0.63114499517872,0.641221330370252
"H3F3A",-0.03092629446059,8.15158622128764,0.246371030742011,0.619642017825525,0.629839417925267
"NCL",0.0186125580570225,8.41090333206713,0.268693582585911,0.604209477338012,0.614450315936961
"SOS2",-0.0226539268710236,5.50014543709152,0.32947581701228,0.565967909137547,0.575839442436457
"SNRPG",0.0227862377316408,4.2042778051535,0.338088711610908,0.560934536822841,0.570994923571482
"GLRX3",-0.0182047634934683,4.97038299838906,0.345373343912797,0.556743925738752,0.567003998085053
"ARMCX3",0.0226529381669411,5.90834397154122,0.369116221252625,0.543486397773054,0.553770710976911
"SF3B2",-0.016373653074401,7.44608227365565,0.369580730017333,0.543232894921651,0.553770710976911
"AKAP10",0.015876554697399,4.67315188158351,0.389019423964783,0.532815284900401,0.543425011311725
"DHX15",-0.0206712991955849,6.62678203380348,0.409266173539436,0.522342201828339,0.533002246763612
"BANF1",-0.0244588992854399,6.14120444753985,0.413401603722377,0.520248015501644,0.531123399393997
"HNRNPUL1",-0.0201760153752593,7.4363415506517,0.432312190712764,0.510856567113445,0.521789295203421
"CGGBP1",0.0182308669042626,6.20576235034443,0.439257663156241,0.507480967497314,0.518593689413313
"DDX17",-0.0228427479492168,9.7548834692969,0.449438409083086,0.502601765629451,0.513857696115797
"BUD31",-0.0203698648170532,5.0950282231751,0.449758131919225,0.502449836030289,0.513857696115797
"AKIRIN2",-0.0319108450497967,5.09123707456286,0.453430822359223,0.500710198319263,0.512422717578193
"SSR2",0.0296955564905956,6.82214550590299,0.458480648585464,0.498334901353502,0.510240513331231
"EIF4B",-0.0301601572213443,8.43204863885078,0.496972715325683,0.480833313455232,0.492560955246823
"MRPL21",-0.0242029020164626,4.42354691327906,0.520433630603293,0.470656766129222,0.482371502621457
"RPS7",0.0299943731543205,8.57446123156349,0.523613240578925,0.469304432985403,0.481220365854173
"C5orf15",-0.0252864599122776,4.98820946054973,0.566782848822186,0.451540166131663,0.463231240291398
"IPO7",-0.0376503629301399,6.88311192495501,0.567910837527961,0.451090290184824,0.462995899016682
"TIMM22",-0.0208368705224639,4.09094308137516,0.571909233131009,0.449501233911259,0.461590509150926
"TPP2",0.0237903981444317,5.41702693752174,0.573448666191325,0.448891753492342,0.461190157697612
"PSMB7",0.0253785198628543,6.12496032644189,0.577210306273628,0.447407873957989,0.459890619340076
"DDB1",0.0278786158525022,7.50551553136678,0.590826726443993,0.442099606688634,0.454656794341886
"SF3B6",0.024668361656809,4.84244627459802,0.61908135208796,0.431388866203461,0.443859195995722
"RPL37",-0.0304061223371149,8.61024067934645,0.625921086390008,0.428855445579066,0.441468841037274
"SF3A3",0.0243966702809327,5.69890252144275,0.633373130998734,0.426120720188132,0.438868814318331
"SNRPD3",-0.0230777279485851,5.26987041372084,0.642989357385886,0.422630376115371,0.43548762995205
"WRNIP1",0.0195247696722613,5.15674955469402,0.652479988917548,0.419227411856263,0.43219320809924
"NPLOC4",-0.033206489926821,6.9118835471936,0.661525389909002,0.416021939288011,0.42909924975679
"WDR45B",0.0232271254341676,6.34258414023741,0.674848974411361,0.411366124702715,0.424505583231303
"PPP1R14B",0.0459131105026444,5.51296985130672,0.675831088079576,0.411025981030755,0.424363107258891
"EID2",0.0287325173191884,3.28610413683688,0.696004767863997,0.404129415350117,0.417447994213106
"ANAPC11",0.0296196552859854,5.34284957887828,0.701080752121925,0.402420784008658,0.41588762126879
"OAZ2",-0.0345601485289862,6.51416749373579,0.727016050395832,0.393852115920928,0.407232616166395
"UBE2H",-0.0328023746641146,7.0669088555603,0.786192445406414,0.375253935263999,0.388193726135171
"RPS21",-0.0377425864706053,7.38983567944742,0.793296400041072,0.373105224083416,0.386161148632417
"AGPAT1",0.0280394471825284,6.25464614628668,0.799356050645656,0.371285969546037,0.384467719944121
"NIFK",0.0354088660443283,4.34782417887622,0.891742148633057,0.345005638461054,0.357430607187082
