Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
TP53	1	0	0	0	12	4	0	1	0	18	12	12	27	44.44444444444444
EGFR	0	0	0	1	10	0	0	0	0	11	7	7	27	25.925925925925924
RAMP2	0	0	5	0	1	0	0	0	0	6	6	6	27	22.22222222222222
TTN	0	0	0	0	49	6	0	2	0	57	5	5	27	18.51851851851852
OBSCN	0	0	0	0	22	0	0	0	0	22	5	5	27	18.51851851851852
NF1	4	1	0	0	3	2	0	0	0	10	5	5	27	18.51851851851852
ATRX	3	1	0	0	4	1	0	0	0	9	5	5	27	18.51851851851852
MAGEL2	0	0	0	0	8	1	0	0	0	9	5	5	27	18.51851851851852
TSC2	1	0	0	0	6	1	0	0	0	8	5	5	27	18.51851851851852
ZAN	0	0	0	0	5	2	0	0	0	7	5	5	27	18.51851851851852
SYNE1	0	0	0	0	15	0	0	0	0	15	4	4	27	14.814814814814813
BSN	0	0	0	0	10	3	0	0	0	13	4	4	27	14.814814814814813
SETD1B	2	1	0	0	9	0	0	0	0	12	4	4	27	14.814814814814813
ATM	1	0	0	0	10	0	0	0	0	11	4	4	27	14.814814814814813
DNAH7	2	0	0	0	9	0	0	0	0	11	4	4	27	14.814814814814813
GLI2	0	0	0	0	10	0	0	0	0	10	4	4	27	14.814814814814813
APC2	0	0	0	0	9	0	0	0	0	9	4	4	27	14.814814814814813
DNAH5	0	0	0	0	7	1	0	1	0	9	4	4	27	14.814814814814813
DNAH8	1	0	0	0	8	0	0	0	0	9	4	4	27	14.814814814814813
LRP1	0	0	0	0	9	0	0	0	0	9	4	4	27	14.814814814814813
PLCB3	0	0	0	0	9	0	0	0	0	9	4	4	27	14.814814814814813
PTPN13	1	0	0	0	7	0	0	1	0	9	4	4	27	14.814814814814813
SDK2	0	0	0	0	8	1	0	0	0	9	4	4	27	14.814814814814813
ZMYM2	1	1	0	0	6	0	0	1	0	9	4	4	27	14.814814814814813
KIF7	0	0	0	0	8	0	0	0	0	8	4	4	27	14.814814814814813
ESPL1	0	0	1	0	6	0	0	0	0	7	4	4	27	14.814814814814813
