Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CTNNB1	0	0	0	0	11	0	0	0	0	11	11	11	97	11.34020618556701
RAMP2	0	0	11	0	0	0	0	0	0	11	11	11	97	11.34020618556701
DDX3X	0	0	0	1	9	1	0	1	0	12	10	10	97	10.309278350515463
MUC17	0	0	0	0	9	0	0	0	0	9	9	9	97	9.278350515463918
KMT2D	2	2	0	0	1	3	0	1	0	9	8	8	97	8.24742268041237
FLG2	0	0	0	0	9	0	0	0	0	9	7	7	97	7.216494845360824
KMT2C	2	5	0	0	1	1	0	0	0	9	7	7	97	7.216494845360824
TTN	0	0	0	0	7	1	0	1	0	9	7	7	97	7.216494845360824
KDM6A	0	2	0	0	0	2	0	3	0	7	7	7	97	7.216494845360824
PHLPP1	0	0	7	0	0	0	0	0	0	7	7	7	97	7.216494845360824
PTCH1	4	1	0	0	0	2	0	1	0	8	6	6	97	6.185567010309279
TP53	0	0	0	0	5	1	0	0	0	6	6	6	97	6.185567010309279
SMARCA4	0	0	0	0	7	0	0	0	0	7	5	5	97	5.154639175257731
MT-ND5	2	0	0	0	3	0	0	0	0	5	5	5	97	5.154639175257731
AHNAK2	0	0	0	0	4	0	0	0	0	4	4	4	97	4.123711340206185
CCDC30	4	0	0	0	0	0	0	0	0	4	4	4	97	4.123711340206185
KBTBD4	2	0	0	2	0	0	0	0	0	4	4	4	97	4.123711340206185
LILRA6	0	0	0	0	4	0	0	0	0	4	4	4	97	4.123711340206185
MT-CYB	0	0	0	0	3	1	0	0	0	4	4	4	97	4.123711340206185
MUC16	0	0	0	0	4	0	0	0	0	4	4	4	97	4.123711340206185
MUC4	0	0	0	0	4	0	0	0	0	4	4	4	97	4.123711340206185
MUC5AC	0	0	0	0	4	0	0	0	0	4	4	4	97	4.123711340206185
SOX1	2	0	2	0	0	0	0	0	0	4	4	4	97	4.123711340206185
ZIC5	4	0	0	0	0	0	0	0	0	4	4	4	97	4.123711340206185
MAGEC1	0	0	0	0	4	0	0	0	0	4	3	3	97	3.0927835051546393
AHNAK	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
CBWD5	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
CENPB	0	0	0	0	0	0	0	0	3	3	3	3	97	3.0927835051546393
CHD8	0	0	1	0	2	0	0	0	0	3	3	3	97	3.0927835051546393
CUL9	0	0	0	0	2	0	0	1	0	3	3	3	97	3.0927835051546393
DPY19L4	0	0	0	0	0	0	0	3	0	3	3	3	97	3.0927835051546393
FBN2	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
INAFM2	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
IRX1	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
KL	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
KNDC1	0	0	0	0	2	0	0	1	0	3	3	3	97	3.0927835051546393
MEGF6	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
MT-ND1	0	0	0	0	2	1	0	0	0	3	3	3	97	3.0927835051546393
MUC3A	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
NBPF10	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
OR2T4	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
PKN2	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
POLR3GL	0	0	3	0	0	0	0	0	0	3	3	3	97	3.0927835051546393
PRSS16	0	0	0	0	2	0	0	1	0	3	3	3	97	3.0927835051546393
RIF1	0	1	0	0	2	0	0	0	0	3	3	3	97	3.0927835051546393
SRRM3	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
STAG2	0	0	0	0	2	1	0	0	0	3	3	3	97	3.0927835051546393
SUSD2	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
TPRN	0	1	1	0	1	0	0	0	0	3	3	3	97	3.0927835051546393
ZIC1	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
ZNF775	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
ZNF780A	0	0	0	0	3	0	0	0	0	3	3	3	97	3.0927835051546393
ZNF786	0	0	2	0	1	0	0	0	0	3	3	3	97	3.0927835051546393
AGAP9	0	0	0	0	3	0	0	0	0	3	2	2	97	2.0618556701030926
ALMS1	0	0	0	0	3	0	0	0	0	3	2	2	97	2.0618556701030926
KCNG3	0	0	0	0	3	0	0	0	0	3	2	2	97	2.0618556701030926
MT-CO3	0	1	0	0	2	0	0	0	0	3	2	2	97	2.0618556701030926
NIN	0	0	0	0	3	0	0	0	0	3	2	2	97	2.0618556701030926
RYR1	0	0	0	0	3	0	0	0	0	3	2	2	97	2.0618556701030926
AC118549.1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ACACA	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ACSF2	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ADARB2	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
AGRN	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
AKAP17A	1	0	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
AL772337.1	0	0	0	0	0	0	0	2	0	2	2	2	97	2.0618556701030926
AMBRA1	0	0	0	0	1	1	0	0	0	2	2	2	97	2.0618556701030926
ANK3	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ARHGAP21	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ARHGAP39	1	1	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
ARID3A	0	0	2	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
ASTE1	1	1	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
ASXL1	0	1	0	0	0	1	0	0	0	2	2	2	97	2.0618556701030926
ATPAF1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ATR	0	1	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
BAZ2B	1	0	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
BEND5	0	1	0	0	0	0	0	0	1	2	2	2	97	2.0618556701030926
BRD7	0	1	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
BRDT	1	0	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
BRMS1	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
C11orf95	0	0	2	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
C4orf50	2	0	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
CACNA1B	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CACNA1H	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
CAMSAP3	0	0	0	0	1	1	0	0	0	2	2	2	97	2.0618556701030926
CAPRIN1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CARMIL2	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
CASZ1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CCDC141	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CCDC187	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CD6	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CDKN2A	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CEACAM20	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CEP350	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CHD3	0	1	1	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
CHRD	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CITED4	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CNGA2	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
COL4A5	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
COMP	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CPXM2	0	0	1	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
CRY1	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
CSMD1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
CTCF	0	2	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
CTCFL	1	0	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
CTDNEP1	0	1	0	0	0	1	0	0	0	2	2	2	97	2.0618556701030926
DDX23	0	0	0	0	1	1	0	0	0	2	2	2	97	2.0618556701030926
DDX27	0	0	0	1	1	0	0	0	0	2	2	2	97	2.0618556701030926
DLGAP3	1	1	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
DNAH14	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
DNAH17	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
DNAH3	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
DNHD1	0	0	1	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
DOCK1	0	1	0	0	0	0	0	1	0	2	2	2	97	2.0618556701030926
DOCK10	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
DOCK2	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
DPYSL5	0	0	0	0	1	0	0	1	0	2	2	2	97	2.0618556701030926
DSCAM	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
DYNC1H1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
EBF1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
EFCAB6	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
EOMES	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
EPHB6	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
FAM25C	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
FAM98C	0	0	2	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
FBN3	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
FLG	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
FRAT2	2	0	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
FSCB	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GAL3ST2	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GALNT2	0	1	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
GDF3	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GPR6	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GPR88	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GRIN2A	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GRIN2B	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
GSE1	0	2	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
H1FX	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
HKR1	0	0	1	0	0	0	1	0	0	2	2	2	97	2.0618556701030926
HUWE1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
IFI16	0	0	0	0	1	1	0	0	0	2	2	2	97	2.0618556701030926
IGHV3-21	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
IGHV4-4	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
IGSF10	0	1	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
INTS4	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
ITGA1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
KIAA2012	1	1	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
KIF25	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
LILRA1	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
LILRB3	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
LIMCH1	0	2	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
LUZP4	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MAP4K5	0	1	0	0	0	0	0	1	0	2	2	2	97	2.0618556701030926
MAX	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MBD6	0	2	0	0	0	0	0	0	0	2	2	2	97	2.0618556701030926
METTL15	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MKI67	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MT-ND6	0	1	0	0	1	0	0	0	0	2	2	2	97	2.0618556701030926
MTOR	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MXRA5	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
MYH4	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
NCOR2	0	0	0	0	2	0	0	0	0	2	2	2	97	2.0618556701030926
