Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
FGFR1	0	0	0	2	0	0	0	2	1	1	5	20
LILRB2	0	0	0	2	0	0	0	2	1	1	5	20
ABCA4	0	0	0	0	0	1	0	1	1	1	5	20
ADAMTS2	1	0	0	0	0	0	0	1	1	1	5	20
AHNAK2	0	0	0	1	0	0	0	1	1	1	5	20
APPL2	0	0	0	1	0	0	0	1	1	1	5	20
BMP2K	0	0	1	0	0	0	0	1	1	1	5	20
C7orf50	0	0	0	1	0	0	0	1	1	1	5	20
CHST10	0	0	0	1	0	0	0	1	1	1	5	20
CITED4	0	0	0	1	0	0	0	1	1	1	5	20
CLEC17A	0	0	0	0	1	0	0	1	1	1	5	20
CLIP4	0	0	0	1	0	0	0	1	1	1	5	20
COL11A1	0	0	0	0	1	0	0	1	1	1	5	20
DIO2	0	0	0	1	0	0	0	1	1	1	5	20
DNPH1	0	0	0	0	0	0	1	1	1	1	5	20
DPP3	0	0	0	0	0	1	0	1	1	1	5	20
DTX1	0	0	0	1	0	0	0	1	1	1	5	20
EXOC5	0	0	0	0	0	1	0	1	1	1	5	20
FAM47C	0	0	0	1	0	0	0	1	1	1	5	20
GOLGA6L9	0	0	0	1	0	0	0	1	1	1	5	20
HIPK1	0	1	0	0	0	0	0	1	1	1	5	20
HIRA	0	0	0	1	0	0	0	1	1	1	5	20
JSRP1	0	0	0	1	0	0	0	1	1	1	5	20
KIF26A	1	0	0	0	0	0	0	1	1	1	5	20
KL	0	0	0	1	0	0	0	1	1	1	5	20
LYSMD3	0	0	0	1	0	0	0	1	1	1	5	20
MAD2L2	0	0	0	0	0	1	0	1	1	1	5	20
MAGEC1	0	0	0	1	0	0	0	1	1	1	5	20
MT-CYB	0	0	0	1	0	0	0	1	1	1	5	20
MTX1	0	0	0	1	0	0	0	1	1	1	5	20
MUC3A	0	0	0	1	0	0	0	1	1	1	5	20
MUC4	0	0	0	1	0	0	0	1	1	1	5	20
MYO15B	0	0	0	1	0	0	0	1	1	1	5	20
MYOT	0	0	0	1	0	0	0	1	1	1	5	20
OPN4	0	0	0	1	0	0	0	1	1	1	5	20
OR2B11	0	0	0	1	0	0	0	1	1	1	5	20
OTOP1	0	0	0	1	0	0	0	1	1	1	5	20
PHOX2B	0	0	0	1	0	0	0	1	1	1	5	20
PITPNM3	0	0	0	1	0	0	0	1	1	1	5	20
PLK5	0	0	0	1	0	0	0	1	1	1	5	20
PRSS54	0	0	0	1	0	0	0	1	1	1	5	20
RAMP2	0	0	1	0	0	0	0	1	1	1	5	20
RHOU	0	0	0	1	0	0	0	1	1	1	5	20
ROS1	0	0	0	1	0	0	0	1	1	1	5	20
SCN10A	0	0	0	1	0	0	0	1	1	1	5	20
SEC14L5	0	0	0	1	0	0	0	1	1	1	5	20
SHC3	0	0	0	1	0	0	0	1	1	1	5	20
SIAH2	0	0	0	1	0	0	0	1	1	1	5	20
SLC36A3	0	0	0	1	0	0	0	1	1	1	5	20
SORD	0	0	0	1	0	0	0	1	1	1	5	20
SPIRE1	0	0	0	0	0	0	1	1	1	1	5	20
SRRM4	0	0	0	1	0	0	0	1	1	1	5	20
TBC1D3B	0	0	0	1	0	0	0	1	1	1	5	20
TLCD1	0	0	0	1	0	0	0	1	1	1	5	20
TRDV1	0	0	0	1	0	0	0	1	1	1	5	20
UNC45B	0	0	0	1	0	0	0	1	1	1	5	20
USP49	0	0	0	1	0	0	0	1	1	1	5	20
ZNF100	0	0	0	1	0	0	0	1	1	1	5	20
ZNF461	0	0	0	1	0	0	0	1	1	1	5	20
