Gene	cancer_group	count
CSNK1D	Acute Lymphoblastic Leukemia	18
LFNG	Acute Lymphoblastic Leukemia	18
TTYH3	Acute Myeloid Leukemia	18
IRX2	Acute Lymphoblastic Leukemia	17
METRNL	Acute Lymphoblastic Leukemia	17
NUP98	Acute Myeloid Leukemia	17
TAF4	Acute Lymphoblastic Leukemia	17
EIF4A1	Acute Lymphoblastic Leukemia	16
H3F3B	Neuroblastoma	16
HIST1H3J	Neuroblastoma	16
MLLT10	Acute Lymphoblastic Leukemia	16
SENP3-EIF4A1	Acute Lymphoblastic Leukemia	16
ZFPM1	Acute Myeloid Leukemia	16
ZNF292	Acute Myeloid Leukemia	16
B2M	Acute Lymphoblastic Leukemia	15
COL1A1	Osteosarcoma	15
EIF4A1	Acute Myeloid Leukemia	15
ELL	Acute Lymphoblastic Leukemia	15
NR4A1	Acute Lymphoblastic Leukemia	15
BCL7A	Acute Lymphoblastic Leukemia	14
CDK2AP1	Acute Myeloid Leukemia	14
CRTC1	Acute Lymphoblastic Leukemia	14
DOT1L	Acute Myeloid Leukemia	14
GAK	Acute Lymphoblastic Leukemia	14
MLLT10	Acute Myeloid Leukemia	14
PER1	Acute Myeloid Leukemia	14
SBF1	Acute Lymphoblastic Leukemia	14
SLC12A7	Acute Lymphoblastic Leukemia	14
DDX5	Acute Myeloid Leukemia	13
EIF5A	Acute Myeloid Leukemia	13
MLLT3	Acute Myeloid Leukemia	13
NCOR2	Acute Myeloid Leukemia	13
PMEPA1	Acute Lymphoblastic Leukemia	13
ULK1	Acute Lymphoblastic Leukemia	13
ACSF3	Acute Lymphoblastic Leukemia	12
BCR	Acute Lymphoblastic Leukemia	12
KDM4B	Acute Lymphoblastic Leukemia	12
PDGFA	Acute Lymphoblastic Leukemia	12
SYNCRIP	Acute Myeloid Leukemia	12
ANKRD11	Acute Lymphoblastic Leukemia	11
FUS	Acute Myeloid Leukemia	11
MAFK	Acute Lymphoblastic Leukemia	11
NUP214	Acute Lymphoblastic Leukemia	11
ASXL1	Acute Lymphoblastic Leukemia	10
C7orf50	Acute Lymphoblastic Leukemia	10
C7orf50	Acute Myeloid Leukemia	10
CSNK1G2	Acute Lymphoblastic Leukemia	10
DAZAP1	Acute Myeloid Leukemia	10
EP300	Acute Lymphoblastic Leukemia	10
ING1	Acute Myeloid Leukemia	10
INSR	Acute Lymphoblastic Leukemia	10
PHACTR3	Acute Lymphoblastic Leukemia	10
SKI	Acute Myeloid Leukemia	10
SUN1	Acute Lymphoblastic Leukemia	10
AC008878.3	Acute Lymphoblastic Leukemia	9
COX19	Acute Myeloid Leukemia	9
GNAS	Acute Myeloid Leukemia	9
GRK2	Acute Lymphoblastic Leukemia	9
KLF16	Acute Lymphoblastic Leukemia	9
KLF2	Acute Myeloid Leukemia	9
LDLRAD4	Acute Lymphoblastic Leukemia	9
LEF1	Acute Lymphoblastic Leukemia	9
MAEA	Acute Lymphoblastic Leukemia	9
MTA1	Acute Lymphoblastic Leukemia	9
NBAS	Neuroblastoma	9
PER1	Acute Lymphoblastic Leukemia	9
PICALM	Acute Lymphoblastic Leukemia	9
TBCD	Acute Lymphoblastic Leukemia	9
TCF25	Acute Myeloid Leukemia	9
AC005258.1	Acute Myeloid Leukemia	8
AFF1	Acute Lymphoblastic Leukemia	8
EIF5A	Acute Lymphoblastic Leukemia	8
FBRSL1	Acute Myeloid Leukemia	8
GNAS	Acute Lymphoblastic Leukemia	8
HDAC4	Acute Lymphoblastic Leukemia	8
KDM5A	Acute Myeloid Leukemia	8
MLLT1	Acute Lymphoblastic Leukemia	8
MNT	Acute Lymphoblastic Leukemia	8
RASA3	Acute Myeloid Leukemia	8
SBNO2	Acute Myeloid Leukemia	8
TFRC	Acute Lymphoblastic Leukemia	8
