Gene	broad_histology	count
ERF	Hematologic malignancy	4
ERG	Hematologic malignancy	7
ERICH1	Hematologic malignancy	6
ETV6	Diffuse astrocytic and oligodendroglial tumor	5
ETV6	Hematologic malignancy	32
EWSR1	Hematologic malignancy	17
EWSR1	Mesenchymal non-meningothelial tumor	9
EXOC4	Diffuse astrocytic and oligodendroglial tumor	5
EXOC4	Embryonal tumor	4
EZR	Hematologic malignancy	6
FAM131B	Low-grade astrocytic tumor	4
FAM53B	Hematologic malignancy	6
FAM83D	Hematologic malignancy	6
FAT1	Hematologic malignancy	4
FBRSL1	Hematologic malignancy	29
FBXO31	Hematologic malignancy	5
FGF12	Low-grade astrocytic tumor	6
FGFR1	Low-grade astrocytic tumor	5
FGFR1	Neuronal and mixed neuronal-glial tumor	5
FLI1	Mesenchymal non-meningothelial tumor	8
FLT3	Hematologic malignancy	7
FNBP1	Hematologic malignancy	8
FOSB	Hematologic malignancy	11
FOSL1	Hematologic malignancy	4
FOSL2	Hematologic malignancy	5
FOXK1	Hematologic malignancy	4
FOXK2	Hematologic malignancy	31
FUS	Hematologic malignancy	20
FYN	Diffuse astrocytic and oligodendroglial tumor	5
FYN	Low-grade astrocytic tumor	6
GAB1	Hematologic malignancy	5
GAK	Hematologic malignancy	22
GALNS	Hematologic malignancy	6
GET4	Hematologic malignancy	8
GLIS2	Hematologic malignancy	4
GLIS3	Diffuse astrocytic and oligodendroglial tumor	4
GNA11	Hematologic malignancy	7
GNA15	Hematologic malignancy	10
GNAQ	Hematologic malignancy	4
GNAS	Hematologic malignancy	61
GPR137	Hematologic malignancy	5
GPSM1	Hematologic malignancy	20
GRAMD4	Hematologic malignancy	13
GRAP	Hematologic malignancy	5
GRB2	Hematologic malignancy	6
GRK2	Hematologic malignancy	27
GSE1	Hematologic malignancy	100
GUK1	Hematologic malignancy	6
HDAC2	Hematologic malignancy	6
HDAC4	Hematologic malignancy	17
HIF1A	Hematologic malignancy	6
HIPK1	Hematologic malignancy	7
HMGB3	Hematologic malignancy	5
HMGN2	Hematologic malignancy	6
HNRNPA2B1	Hematologic malignancy	9
HNRNPH1	Hematologic malignancy	5
HNRNPU	Hematologic malignancy	12
HOXA9	Hematologic malignancy	5
HSP90AA1	Hematologic malignancy	8
HSP90AB1	Hematologic malignancy	4
IGF1R	Diffuse astrocytic and oligodendroglial tumor	5
IGKV1OR2-108	Hematologic malignancy	4
IKZF1	Hematologic malignancy	7
ILF3	Hematologic malignancy	15
ING1	Hematologic malignancy	14
ING5	Hematologic malignancy	13
INPP5A	Hematologic malignancy	6
INSR	Hematologic malignancy	22
INTS1	Hematologic malignancy	4
IRX2	Hematologic malignancy	15
ITM2C	Hematologic malignancy	23
